时间,排名,热搜内容,地域,主题,上榜时间,最后时间
2020/2/21 12:00,1,韩国确认发生超级传播,国外-韩国,疫情-新增,2020/2/21 17:26,"2020/2/21
7:46"
2020/2/21 12:00,2,周琪 新冠病毒不能通过皮肤侵入人体,国内,专家-周琪,2020/2/21 16:38,"2020/2/21
11:22"
2020/2/21 12:00,3,延迟婚期的武汉医生感染离世,国内-湖北-武汉,医护-去世,2020/2/21 16:52,"2020/2/21
8:52"
2020/2/21 12:00,4,山东省司法厅厅长被免职,国内-山东,政府-免职|政府-问责,2020/2/21 16:28,"2020/2/21
10:34"
2020/2/21 12:00,5,湖北以外地区新增病例出现反弹,国内,疫情-新增,2020/2/21 17:58,"2020/2/21
10:12"
2020/2/21 12:00,6,疫苗最快4月下旬申报临床试验,国内,疫情-疫苗,2020/2/21 16:02,"2020/2/21
11:06"
2020/2/21 12:00,8,青海新冠肺炎确诊患者清零,国内-青海,疫情-减少,2020/2/21 17:54,"2020/2/21
11:04"
2020/2/21 12:00,11,武汉训斥医护人员患者被停职检查,国内-湖北-武汉,政府-免职,2020/2/21 14:58,"2020/2/21
8:22"
2020/2/21 12:00,12,日本累计确诊728例新冠肺炎,国外-日本,疫情-新增,2020/2/21 13:46,"2020/2/21
7:12"
2020/2/21 12:00,13,日本暂不强制取消大型活动,国外-日本,防控-大型活动,2020/2/21 13:32,"2020/2/21
7:46"
2020/2/21 12:00,14,首个新冠病毒原子图,国内,疫情-知识,2020/2/21 12:48,"2020/2/21
7:34"
2020/2/21 12:00,21,山东新增202例新型肺炎,国内-山东,疫情-新增,2020/2/21 17:04,"2020/2/21
10:28"
2020/2/21 12:00,22,给武汉无偿送菜回乡被骂瘟神,国内-湖北-武汉,物资-蔬菜,2020/2/21 15:02,"2020/2/21
9:12"
2020/2/21 12:00,24,济宁任城监狱确诊200例,国内-山东-济宁,疫情-新增,2020/2/21 13:52,"2020/2/21
10:38"
2020/2/21 12:00,25,浙江新增28例新型肺炎,国内-浙江,疫情-新增,2020/2/21 13:52,"2020/2/21
9:38"
2020/2/21 12:00,28,全国累计确诊新冠肺炎75465例,国内,疫情-播报,2020/2/21 16:40,"2020/2/21
9:32"
2020/2/21 12:00,31,韩国三军都发现确诊感染者,国外-韩国,疫情-新增,2020/2/21 14:00,"2020/2/21
9:26"
