Wall time,Step,Value
1651072115.5838704,5,-1000.0
1651072116.0615466,6,-1000.0
1651072118.6798825,10,-1000.0
1651072119.391548,11,-1000.0
1651072120.9157686,13,-1000.0
1651072121.5870872,14,-1000.0
1651072122.253327,15,-1000.0
1651072123.5697088,17,-1000.0
1651072124.2186575,18,-1000.0
1651072124.9096677,19,-1000.0
1651072125.5642784,20,-1000.0
1651072128.2715998,24,-1000.0
1651072134.6948621,33,-1000.0
1651072135.4942603,34,-1000.0
1651072136.8974578,36,-1000.0
1651072139.1468904,39,-1000.0
1651072139.7948775,40,-1000.0
1651072141.0966194,42,-1000.0
1651072142.442198,44,-1000.0
1651072143.2224505,45,-1000.0
1651072145.555947,47,-1000.0
1651072147.5406075,49,-1000.0
1651072148.5781162,50,-1000.0
1651072151.6844215,53,-1000.0
1651072152.7247195,54,-1000.0
1651072153.5741415,55,-1000.0
1651072154.402466,56,-1000.0
1651072155.3093143,57,-1000.0
1651072158.8851779,60,-1000.0
1651072159.766767,61,-1000.0
1651072161.7036421,63,-1000.0
1651072164.5240989,65,-1000.0
1651072165.5584304,66,-1000.0
1651072166.5034683,67,-1000.0
1651072167.4866648,68,-1000.0
1651072170.8071232,71,-1000.0
1651072171.837665,72,-1000.0
1651072172.6847296,73,-1000.0
1651072173.4753025,74,-1000.0
1651072175.042424,76,-1000.0
1651072177.492817,79,-1000.0
1651072181.6377347,84,-1000.0
1651072182.657828,85,-1000.0
1651072183.6482987,86,-1000.0
1651072184.5638282,87,-1000.0
1651072185.4862442,88,-1000.0
1651072186.641286,89,-1000.0
1651072191.0326083,94,-1000.0
1651072200.0102496,102,-1000.0
1651072202.778982,105,-1000.0
1651072204.1677387,106,-1000.0
1651072211.2040758,113,-1000.0
1651072214.534059,116,-1000.0
1651072216.466253,118,-1000.0
1651072217.3933656,119,-1000.0
1651072218.372572,120,-1000.0
1651072222.7132504,124,-1000.0
1651072223.6316247,125,-1000.0
1651072224.4479702,126,-1000.0
1651072227.0823157,129,-1000.0
1651072228.0632591,130,-1000.0
1651072231.3408499,133,-1000.0
1651072235.2895296,137,-1000.0
1651072237.366715,139,-1000.0
1651072239.7406533,141,-1000.0
1651072240.977254,142,-1000.0
1651072242.1625247,143,-1000.0
1651072243.1757312,144,-1000.0
1651072247.6002138,148,-1000.0
1651072249.3994637,150,-1000.0
1651072251.9668872,153,-1000.0
1651072253.2267807,154,-1000.0
1651072254.1832159,155,-1000.0
1651072256.0180101,157,-1000.0
1651072256.847059,158,-1000.0
1651072257.7101352,159,-1000.0
1651072260.5771682,162,-1000.0
1651072262.6759784,164,-1000.0
1651072263.6166074,165,-1000.0
1651072265.4054406,167,-1000.0
1651072266.2842171,168,-1000.0
1651072268.8656359,171,-1000.0
1651072273.0741758,176,-1000.0
1651072273.9235654,177,-1000.0
1651072274.878152,178,-1000.0
1651072276.6997535,180,-1000.0
1651072277.7917814,181,-1000.0
1651072279.8604608,183,-1000.0
1651072281.809467,185,-1000.0
1651072282.95041,186,-1000.0
1651072283.893897,187,-1000.0
1651072284.8369339,188,-1000.0
1651072286.7732892,190,-1000.0
1651072287.9185252,191,-1000.0
1651072294.7139063,198,-1000.0
1651072298.0783918,202,-1000.0
1651072301.3518016,206,-1000.0
1651072302.2208447,207,-1000.0
1651072303.0432286,208,-1000.0
1651072306.3567743,212,-1000.0
1651072309.1943529,215,-1000.0
1651072312.0242903,218,-1000.0
1651072312.8463266,219,-1000.0
1651072315.2651262,222,-1000.0
1651072316.055702,223,-1000.0
1651072317.8636947,225,-1000.0
1651072318.6717312,226,-1000.0
1651072319.4672873,227,-1000.0
1651072321.09335,229,-1000.0
1651072321.9281669,230,-1000.0
1651072323.7139926,232,-1000.0
1651072324.5235066,233,-1000.0
1651072325.3667667,234,-1000.0
1651072327.84114,237,-1000.0
1651072330.2768822,240,-1000.0
1651072334.3875515,245,-1000.0
1651072336.0373359,247,-1000.0
1651072337.7357779,249,-1000.0
1651072338.6191256,250,-1000.0
1651072349.7663705,255,-1000.0
1651072358.0718963,258,-1000.0
1651072360.2973764,259,-1000.0
1651072362.3866518,260,-1000.0
1651072364.842997,261,-1000.0
1651072368.899425,263,-1000.0
1651072375.4443223,267,-1000.0
1651072378.0306723,269,-1000.0
1651072381.4452434,271,-1000.0
1651072388.054527,273,-1000.0
1651072398.7635891,278,-1000.0
1651072401.4703383,280,-1000.0
1651072407.545868,284,-1000.0
1651072413.6135333,289,-1000.0
1651072416.1135383,291,-1000.0
1651072417.2497559,292,-1000.0
1651072421.210637,295,-1000.0
1651072422.9863093,297,-1000.0
1651072423.8429608,298,-1000.0
1651072424.6892562,299,-1000.0
1651072426.4350598,301,-1000.0
1651072427.5283072,302,-1000.0
1651072428.422386,303,-1000.0
1651072431.8768594,307,-1000.0
1651072432.8166373,308,-1000.0
