Wall time,Step,Value
1651066347.0287218,5,1000.0
1651066347.481368,6,1000.0
1651066349.6519418,10,1000.0
1651066350.3944366,11,1000.0
1651066351.789672,13,1000.0
1651066352.5155735,14,1000.0
1651066353.177777,15,1000.0
1651066354.523983,17,1000.0
1651066355.1924717,18,1000.0
1651066355.8750596,19,1000.0
1651066356.5633478,20,1000.0
1651066359.29496,24,1000.0
1651066365.4795525,33,1000.0
1651066366.168837,34,1000.0
1651066367.5323238,36,1000.0
1651066369.5993118,39,1000.0
1651066370.295461,40,1000.0
1651066371.6592307,42,1000.0
1651066373.027242,44,1000.0
1651066373.7178688,45,1000.0
1651066375.0633721,47,1000.0
1651066376.432375,49,1000.0
1651066377.109055,50,1000.0
1651066379.1328528,53,1000.0
1651066379.8051133,54,1000.0
1651066380.463768,55,1000.0
1651066381.1691744,56,1000.0
1651066381.8803406,57,1000.0
1651066383.959547,60,1000.0
1651066384.6553533,61,1000.0
1651066386.0160372,63,1000.0
1651066387.374751,65,1000.0
1651066388.0577385,66,1000.0
1651066388.769681,67,1000.0
1651066389.4815354,68,1000.0
1651066391.8122983,71,1000.0
1651066392.5813906,72,1000.0
1651066393.0809085,73,371.0
1651066394.0329878,74,1000.0
1651066395.4102318,76,534.0
1651066398.44215,79,1000.0
1651066404.2188764,84,1000.0
1651066405.1384137,85,767.0
1651066406.2764747,86,1000.0
1651066407.3072946,87,1000.0
1651066407.97469,88,443.0
1651066409.0553858,89,1000.0
1651066413.7819362,94,534.0
1651066422.3022792,102,520.0
1651066425.3660676,105,1000.0
1651066426.3055093,106,602.0
1651066433.6002276,113,1000.0
1651066437.309259,116,1000.0
1651066439.730418,118,1000.0
1651066440.7300463,119,1000.0
1651066441.851725,120,1000.0
1651066446.3138156,124,1000.0
1651066447.4598486,125,1000.0
1651066449.57391,126,1000.0
1651066454.3837938,129,1000.0
1651066456.162741,130,1000.0
1651066463.0554695,133,1000.0
1651066471.9398882,137,1000.0
1651066475.9916108,139,1000.0
1651066482.1504645,141,1000.0
1651066485.2510269,142,1000.0
1651066487.1942081,143,1000.0
1651066488.8778417,144,1000.0
1651066493.2386882,148,1000.0
1651066495.7728286,150,1000.0
1651066499.1072545,153,1000.0
1651066500.2481847,154,1000.0
1651066501.3664036,155,1000.0
1651066504.7137587,157,1000.0
1651066506.0331087,158,1000.0
1651066507.2622845,159,1000.0
1651066511.101602,162,1000.0
1651066513.5746744,164,1000.0
1651066514.852629,165,1000.0
1651066517.199354,167,914.0
1651066518.491199,168,1000.0
1651066522.1560686,171,1000.0
1651066528.1345139,176,881.0
1651066529.323492,177,1000.0
1651066530.2036054,178,390.0
1651066532.9193063,180,1000.0
1651066534.284822,181,1000.0
1651066535.8152304,183,1000.0
1651066537.7118819,185,1000.0
1651066538.9773817,186,1000.0
1651066540.2261105,187,1000.0
1651066540.8756912,188,286.0
1651066541.997136,190,288.0
1651066542.5472097,191,162.0
1651066552.3358016,198,1000.0
1651066556.3539798,202,1000.0
1651066560.3674552,206,1000.0
1651066561.2809258,207,1000.0
1651066562.2950966,208,1000.0
1651066565.6778665,212,1000.0
1651066568.231931,215,1000.0
1651066570.1385887,218,1000.0
1651066570.6204777,219,359.0
1651066572.71748,222,960.0
1651066573.1069243,223,201.0
1651066573.9783325,225,204.0
1651066574.4072902,226,292.0
1651066575.2092218,227,1000.0
1651066576.3662262,229,701.0
1651066577.4126132,230,885.0
1651066579.6716287,232,1000.0
1651066580.6872056,233,1000.0
1651066581.922553,234,1000.0
1651066585.6907725,237,1000.0
1651066588.4533875,240,1000.0
1651066592.9389405,245,1000.0
1651066594.8977199,247,1000.0
1651066596.544461,249,1000.0
1651066597.3959663,250,1000.0
1651066602.764269,255,1000.0
1651066605.6024697,258,1000.0
1651066606.4442425,259,478.0
1651066607.259202,260,537.0
1651066607.8736076,261,348.0
1651066609.3244169,263,298.0
1651066612.5113564,267,658.0
1651066614.0712464,269,1000.0
1651066615.3245256,271,348.0
1651066616.693644,273,444.0
1651066618.9765496,278,206.0
1651066619.9069464,280,205.0
1651066622.2378123,284,226.0
1651066624.2874813,289,206.0
1651066625.6032865,291,211.0
1651066626.0181043,292,230.0
1651066627.215189,295,202.0
1651066628.032099,297,208.0
1651066628.4107618,298,202.0
1651066628.7984483,299,211.0
1651066629.5941029,301,216.0
1651066629.9445357,302,198.0
1651066630.3105311,303,189.0
1651066631.856648,307,188.0
1651066632.27441,308,184.0
1651066633.0566163,310,188.0
1651066634.211863,313,185.0
1651066635.6957955,317,189.0
1651066636.0559382,318,190.0
1651066636.43262,319,189.0
1651066636.801839,320,190.0
1651066637.5784514,322,196.0
1651066638.7864022,325,236.0
1651066639.159904,326,192.0
1651066639.5320077,327,191.0
1651066640.695685,330,252.0
1651066641.07594,331,189.0
1651066641.8519273,333,194.0
1651066644.2020297,339,190.0
1651066645.282432,341,186.0
1651066646.5314589,344,228.0
1651066647.1491606,345,611.0
1651066648.0262222,347,378.0
1651066648.8747756,348,893.0
1651066650.90895,353,230.0
1651066651.309643,354,232.0
1651066652.1440053,356,186.0
1651066652.9995558,358,302.0
1651066653.4361691,359,210.0
1651066653.9055133,360,229.0
1651066655.2624023,363,314.0
1651066655.6691785,364,235.0
1651066657.1552455,367,226.0
1651066657.6284146,368,341.0
1651066659.1995792,370,1000.0
1651066659.67792,371,288.0
1651066660.6257224,373,476.0
1651066662.4833372,377,236.0
