Wall time,Step,Value
1651113323.6731794,5,-1000.0
1651113324.220794,6,-1000.0
1651113326.8674355,10,-1000.0
1651113327.6636147,11,-1000.0
1651113329.0880144,13,-1000.0
1651113329.8113608,14,-1000.0
1651113330.5258229,15,-1000.0
1651113332.3138227,17,-1000.0
1651113333.0923986,18,-1000.0
1651113333.8983283,19,-1000.0
1651113334.604242,20,-1000.0
1651113337.3421323,24,-1000.0
1651113343.6905155,33,-1000.0
1651113344.377561,34,-1000.0
1651113345.6983624,36,-1000.0
1651113347.9903865,39,-1000.0
1651113348.7095845,40,-1000.0
1651113350.1785955,42,-1000.0
1651113351.5818493,44,-1000.0
1651113352.2457383,45,-1000.0
1651113353.7465026,47,-1000.0
1651113355.145599,49,-1000.0
1651113355.8106177,50,-1000.0
1651113357.8115804,53,-1000.0
1651113358.5042894,54,-1000.0
1651113359.1641839,55,-1000.0
1651113359.8718054,56,-1000.0
1651113360.6208065,57,-1000.0
1651113362.9889417,60,-1000.0
1651113363.6862035,61,-1000.0
1651113365.2241323,63,-1000.0
1651113366.542552,65,-1000.0
1651113367.2325897,66,-1000.0
1651113367.9219232,67,-1000.0
1651113368.6479545,68,-1000.0
1651113370.7444553,71,-1000.0
1651113371.4640152,72,-1000.0
1651113372.128868,73,-1000.0
1651113372.9631062,74,-1000.0
1651113374.6034825,76,-1000.0
1651113376.8198612,79,-1000.0
1651113381.5567284,84,-1000.0
1651113382.518662,85,-1000.0
1651113383.51866,86,-1000.0
1651113384.5186663,87,-1000.0
1651113385.351671,88,-1000.0
1651113386.5407321,89,-1000.0
1651113390.7242882,94,-1000.0
1651113398.3061962,102,-1000.0
1651113400.8476477,105,-1000.0
1651113401.73869,106,-1000.0
1651113407.855711,113,-692.0
1651113410.666476,116,-1000.0
1651113412.5372925,118,-1000.0
1651113413.4930022,119,-728.0
1651113414.8131034,120,-1000.0
1651113419.618375,124,-1000.0
1651113420.3554356,125,-575.0
1651113421.3030467,126,-1000.0
1651113423.9475515,129,-1000.0
1651113424.8820887,130,-1000.0
1651113428.3085902,133,-1000.0
1651113431.723934,137,-910.0
1651113433.3266258,139,-1000.0
1651113434.85668,141,-1000.0
1651113435.6060243,142,-960.0
1651113436.4126577,143,-1000.0
1651113437.293413,144,-1000.0
1651113440.6263838,148,-1000.0
1651113442.2158828,150,-1000.0
1651113444.7396426,153,-1000.0
1651113445.514989,154,-1000.0
1651113446.3576448,155,-1000.0
1651113448.0301945,157,-1000.0
1651113448.8628194,158,-1000.0
