Wall time,Step,Value
1651115989.7523308,5,1000.0
1651115990.1933346,6,1000.0
1651115992.2649667,10,1000.0
1651115992.9726121,11,1000.0
1651115994.3013582,13,1000.0
1651115994.9601336,14,1000.0
1651115995.6012058,15,1000.0
1651115996.9343827,17,1000.0
1651115997.5939815,18,1000.0
1651115998.3113146,19,1000.0
1651115998.95194,20,1000.0
1651116001.6667721,24,1000.0
1651116008.1199994,33,1000.0
1651116008.7991004,34,1000.0
1651116010.1738105,36,1000.0
1651116012.5360653,39,1000.0
1651116013.2897744,40,1000.0
1651116014.9376838,42,1000.0
1651116016.5128958,44,1000.0
1651116017.2003963,45,1000.0
1651116018.8156621,47,1000.0
1651116020.6240058,49,1000.0
1651116021.7865963,50,1000.0
1651116024.0427985,53,1000.0
1651116024.773341,54,1000.0
1651116025.517583,55,1000.0
1651116026.242285,56,1000.0
1651116027.1182992,57,1000.0
1651116029.2630155,60,1000.0
1651116030.013251,61,1000.0
1651116031.7908907,63,1000.0
1651116033.8465452,65,1000.0
1651116035.0602102,66,1000.0
1651116036.6789708,67,1000.0
1651116038.512897,68,1000.0
1651116042.064669,71,1000.0
1651116043.1132085,72,1000.0
1651116044.2554739,73,1000.0
1651116045.4370658,74,1000.0
1651116047.805116,76,1000.0
1651116052.2769508,79,1000.0
1651116059.2437863,84,1000.0
1651116060.2649548,85,1000.0
1651116062.3221529,86,1000.0
1651116064.0193076,87,1000.0
1651116065.4765909,88,1000.0
1651116066.482216,89,1000.0
1651116072.0720139,94,1000.0
1651116080.356839,102,1000.0
1651116083.421958,105,1000.0
1651116084.3999896,106,1000.0
1651116090.925616,113,1000.0
1651116093.348071,116,1000.0
1651116095.1659296,118,1000.0
1651116095.9583094,119,1000.0
1651116096.7565446,120,1000.0
1651116100.1922314,124,1000.0
1651116100.9932334,125,1000.0
1651116101.8812594,126,1000.0
1651116104.4174912,129,1000.0
1651116105.2605374,130,1000.0
1651116107.6710765,133,1000.0
1651116110.936554,137,1000.0
1651116112.4725537,139,1000.0
1651116113.9805596,141,1000.0
1651116114.7775986,142,1000.0
1651116115.6871145,143,1000.0
1651116116.465509,144,1000.0
1651116119.711619,148,1000.0
1651116121.401708,150,1000.0
1651116123.7707338,153,1000.0
1651116124.5254812,154,1000.0
1651116125.3005474,155,1000.0
1651116126.9385724,157,1000.0
1651116127.7585955,158,1000.0
1651116128.554625,159,1000.0
1651116130.9694839,162,1000.0
1651116132.5775151,164,1000.0
1651116133.336578,165,1000.0
1651116134.8909786,167,1000.0
1651116135.6719816,168,1000.0
1651116138.93514,171,1000.0
1651116143.691985,176,1000.0
1651116144.5010126,177,1000.0
1651116145.2950475,178,1000.0
1651116146.827083,180,1000.0
1651116147.724117,181,1000.0
1651116149.360672,183,1000.0
1651116151.003913,185,1000.0
1651116151.8219166,186,1000.0
1651116152.6709423,187,1000.0
1651116153.4686413,188,1000.0
1651116155.0702558,190,1000.0
1651116155.9152868,191,1000.0
1651116161.6590784,198,1000.0
1651116163.51351,202,270.0
1651116165.1667159,206,269.0
1651116165.5157228,207,172.0
1651116166.2903054,208,1000.0
1651116167.730623,212,118.0
1651116168.6956568,215,124.0
1651116169.7247355,218,122.0
1651116170.0847309,219,120.0
1651116171.1459136,222,254.0
1651116171.49819,223,168.0
1651116172.2082548,225,177.0
1651116172.5395389,226,119.0
1651116172.8949091,227,164.0
1651116173.6309366,229,170.0
1651116174.0069346,230,175.0
1651116174.7422144,232,141.0
1651116175.0852187,233,152.0
1651116175.430248,234,145.0
1651116176.5013173,237,149.0
1651116177.5353472,240,145.0
1651116179.4024315,245,150.0
1651116180.177462,247,153.0
1651116181.1444988,249,151.0
1651116181.7875965,250,149.0
1651116186.9541407,255,146.0
1651116189.74914,258,143.0
1651116190.504138,259,148.0
1651116191.200138,260,145.0
1651116191.8221362,261,152.0
1651116193.96214,263,146.0
1651116196.739143,267,155.0
1651116197.7602074,269,145.0
1651116198.855272,271,141.0
1651116199.818328,273,140.0
1651116202.359322,278,144.0
1651116203.4253209,280,196.0
1651116206.4403248,284,194.0
1651116209.841653,289,278.0
1651116210.9170818,291,236.0
1651116211.699083,292,457.0
1651116214.7035942,295,1000.0
1651116216.3175867,297,156.0
1651116216.990609,298,542.0
1651116217.406703,299,246.0
1651116218.2627296,301,206.0
1651116218.795787,302,166.0
1651116219.3659427,303,134.0
1651116221.9493673,307,153.0
1651116222.3120744,308,163.0
1651116223.055184,310,176.0
1651116224.167199,313,133.0
1651116226.6998596,317,151.0
1651116227.292871,318,136.0
1651116228.0959635,319,193.0
1651116228.704951,320,140.0
1651116229.8790073,322,138.0
1651116231.1883337,325,142.0
1651116231.676334,326,140.0
1651116232.1373293,327,202.0
1651116233.2913694,330,137.0
1651116233.725611,331,136.0
1651116234.5631118,333,141.0
1651116237.1752484,339,140.0
1651116238.236248,341,140.0
1651116239.782248,344,143.0
