,Step,Value
0,5,-1000.0
1,6,-1000.0
2,10,-1000.0
3,11,-1000.0
4,13,-1000.0
5,14,-1000.0
6,15,-1000.0
7,17,-1000.0
8,18,-1000.0
9,19,-1000.0
10,20,-1000.0
11,24,-1000.0
12,33,-1000.0
13,34,-1000.0
14,36,-1000.0
15,39,-1000.0
16,40,-1000.0
17,42,-1000.0
18,44,-1000.0
19,45,-1000.0
20,47,-1000.0
21,49,-1000.0
22,50,-1000.0
23,53,-1000.0
24,54,-1000.0
25,55,-1000.0
26,56,-1000.0
27,57,-1000.0
28,60,-1000.0
29,61,-1000.0
30,63,-1000.0
31,65,-1000.0
32,66,-1000.0
33,67,-1000.0
34,68,-1000.0
35,71,-1000.0
36,72,-1000.0
37,73,-1000.0
38,74,-1000.0
39,76,-1000.0
40,79,-1000.0
41,84,-1000.0
42,85,-1000.0
43,86,-1000.0
44,87,-1000.0
45,88,-1000.0
46,89,-1000.0
47,94,-1000.0
48,102,-1000.0
49,105,-1000.0
50,106,-1000.0
51,113,-1000.0
52,116,-1000.0
53,118,-1000.0
54,119,-1000.0
55,120,-1000.0
56,124,-1000.0
57,125,-1000.0
58,126,-1000.0
59,129,-1000.0
60,130,-1000.0
61,133,-1000.0
62,137,-1000.0
63,139,-1000.0
64,141,-1000.0
65,142,-1000.0
66,143,-1000.0
67,144,-1000.0
68,148,-1000.0
69,150,-1000.0
70,153,-1000.0
71,154,-1000.0
72,155,-1000.0
73,157,-1000.0
74,158,-1000.0
75,159,-1000.0
76,162,-1000.0
77,164,-1000.0
78,165,-1000.0
79,167,-1000.0
80,168,-1000.0
81,171,-1000.0
82,176,-1000.0
83,177,-1000.0
84,178,-1000.0
85,180,-1000.0
86,181,-1000.0
87,183,-1000.0
88,185,-1000.0
89,186,-1000.0
90,187,-1000.0
91,188,-1000.0
92,190,-1000.0
93,191,-1000.0
94,198,-1000.0
95,202,-1000.0
96,206,-1000.0
97,207,-1000.0
98,208,-1000.0
99,212,-1000.0
100,215,-1000.0
101,218,-1000.0
102,219,-1000.0
103,222,-1000.0
104,223,-1000.0
105,225,-1000.0
106,226,-1000.0
107,227,-1000.0
108,229,-1000.0
109,230,-1000.0
110,232,-1000.0
111,233,-1000.0
112,234,-1000.0
113,237,-1000.0
114,240,-1000.0
115,245,-1000.0
116,247,-1000.0
117,249,-1000.0
118,250,-1000.0
119,255,-1000.0
120,258,-1000.0
121,259,-1000.0
122,260,-1000.0
123,261,-1000.0
124,263,-1000.0
125,267,-1000.0
126,269,-1000.0
127,271,-1000.0
128,273,-1000.0
129,278,-1000.0
130,280,-1000.0
131,284,-1000.0
132,289,-1000.0
133,291,-1000.0
134,292,-1000.0
135,295,-1000.0
136,297,-1000.0
137,298,-1000.0
138,299,-1000.0
139,301,-1000.0
140,302,-1000.0
141,303,-1000.0
142,307,-1000.0
143,308,-1000.0
144,310,-1000.0
145,313,-1000.0
146,317,-1000.0
147,318,-1000.0
148,319,-1000.0
149,320,-1000.0
150,322,-1000.0
151,325,-1000.0
152,326,-1000.0
153,327,-1000.0
154,330,-1000.0
155,331,-1000.0
156,333,-1000.0
157,339,-1000.0
158,341,-1000.0
159,344,-1000.0
160,345,-1000.0
161,347,-1000.0
162,348,-1000.0
163,353,-1000.0
164,354,-1000.0
165,356,-1000.0
166,358,-1000.0
167,359,-1000.0
168,360,-1000.0
169,363,-1000.0
170,364,-1000.0
171,367,-1000.0
172,368,-1000.0
173,370,-1000.0
174,371,-1000.0
175,373,-1000.0
176,377,-1000.0
177,378,-1000.0
178,379,-1000.0
179,381,-1000.0
180,382,-1000.0
181,385,-1000.0
182,386,-1000.0
183,387,-1000.0
184,388,-1000.0
185,390,-1000.0
186,391,-1000.0
187,392,-1000.0
188,393,-1000.0
189,402,-1000.0
190,403,-1000.0
191,405,-1000.0
192,408,-1000.0
193,415,-1000.0
194,416,-1000.0
195,420,-1000.0
196,421,-1000.0
197,422,-1000.0
198,424,-1000.0
199,426,-1000.0
200,430,-928.2
201,439,-861.0800000000002
202,440,-841.6720000000003
203,441,-786.3048000000002
204,442,-726.8743200000002
205,444,-754.1868880000002
206,445,-766.1681992000001
207,448,-707.5513792800001
208,451,-656.9962413520002
209,458,-606.2966172168002
210,459,-645.6669554951202
211,460,-627.8002599456081
212,461,-578.1202339510473
213,463,-531.7082105559426
214,464,-494.1373895003484
215,465,-463.8236505503136
216,467,-430.2412854952822
217,468,-405.51715694575404
218,469,-377.1654412511786
219,471,-358.8488971260607
220,473,-340.06400741345465
221,474,-317.8576066721092
222,478,-305.0718460048983
223,485,-339.56466140440847
224,488,-405.60819526396756
225,489,-394.4473757375708
226,491,-371.7026381638137
227,493,-347.83237434743234
228,496,-333.0491369126891
229,507,-317.8442232214202
230,510,-299.5598008992782
231,511,-289.5038208093503
232,512,-277.1534387284153
233,514,-265.4380948555738
234,516,-254.49428537001643
235,517,-244.4448568330148
236,519,-237.00037114971332
237,524,-290.600334034742
238,525,-292.84030063126784
239,531,-359.2562705681411
240,533,-423.3306435113269
241,534,-456.8975791601942
242,535,-432.0078212441748
243,536,-488.8070391197573
244,537,-539.9263352077816
245,538,-518.0337016870034
246,539,-519.3303315183031
247,540,-501.6972983664728
248,541,-551.5275685298255
249,542,-542.674811676843
250,544,-588.4073305091587
251,547,-549.3665974582427
252,548,-556.4299377124185
253,549,-521.4869439411766
254,551,-496.93824954705894
255,555,-466.7444245923531
256,557,-515.2699821331178
257,559,-483.04298391980603
258,563,-468.8386855278254
259,564,-441.85481697504287
260,565,-416.3693352775386
261,567,-394.03240174978475
262,569,-375.7291615748063
263,571,-357.4562454173257
264,573,-348.81062087559314
265,574,-336.0295587880338
266,577,-322.1266029092304
267,579,-313.7139426183074
268,580,-301.34254835647664
269,581,-371.208293520829
270,582,-355.7874641687461
271,583,-342.50871775187153
272,584,-336.9578459766844
273,586,-326.8620613790159
274,587,-394.1758552411143
275,592,-376.25826971700286
276,593,-356.13244274530257
277,595,-335.61919847077235
278,596,-315.75727862369513
279,597,-303.48155076132565
280,600,-286.4333956851931
281,602,-276.3900561166738
282,604,-267.8510505050064
283,606,-259.16594545450573
284,608,-278.34935090905515
285,610,-272.1144158181496
286,611,-265.2029742363346
287,612,-269.7826768127012
288,615,-263.60440913143105
289,619,-337.24396821828793
290,620,-324.5195713964591
291,622,-392.06761425681316
292,623,-426.06085283113185
293,625,-412.35476754801863
294,629,-395.81929079321674
295,634,-407.7373617138951
296,641,-386.56362554250563
297,642,-371.60726298825506
298,644,-354.04653668942956
299,645,-333.1418830204866
300,646,-319.32769471843795
301,647,-309.39492524659414
302,648,-292.75543272193477
303,649,-303.9798894497413
304,651,-294.1819005047671
305,652,-278.5637104542904
306,656,-350.70733940886134
307,657,-335.0366054679752
308,659,-384.6329449211777
309,661,-360.6696504290599
310,664,-424.6026853861539
311,666,-397.3424168475385
312,667,-371.80817516278466
313,668,-354.1273576465062
314,671,-388.41462188185557
315,672,-363.47315969366997
316,673,-347.82584372430296
317,674,-332.14325935187264
318,675,-318.92893341668537
319,677,-311.1360400750168
320,678,-305.1224360675151
321,679,-294.21019246076355
322,681,-284.38917321468716
323,682,-275.55025589321843
324,683,-345.99523030389656
325,684,-411.3957072735069
326,685,-389.2561365461562
327,686,-429.43052289154053
328,688,-434.1874706023865
329,689,-411.2687235421479
330,692,-399.5418511879331
331,696,-387.3876660691398
332,699,-369.8488994622258
333,700,-352.36400951600325
334,701,-417.12760856440286
335,703,-417.91484770796256
336,704,-476.12336293716623
337,705,-452.4110266434496
338,706,-469.2699239791046
339,708,-442.84293158119414
340,709,-414.65863842307476
341,710,-473.19277458076726
342,714,-452.67349712269055
343,718,-422.50614741042153
344,719,-399.8555326693794
345,721,-379.86997940244146
346,722,-441.88298146219734
347,723,-417.8946833159776
348,724,-476.1052149843798
349,725,-448.7946934859419
350,726,-428.1152241373477
351,729,-399.30370172361296
352,730,-378.57333155125167
353,736,-361.1159983961265
354,738,-385.5043985565138
355,739,-446.9539587008625
356,740,-422.2585628307762
357,741,-406.0327065476986
358,743,-465.4294358929287
359,746,-518.8864923036358
360,747,-510.5978430732722
361,750,-479.63805876594495
362,751,-458.0742528893504
363,752,-512.2668276004154
364,754,-481.04014484037384
365,756,-467.9361303563365
366,759,-435.14251732070284
367,760,-411.1282655886326
368,762,-470.01543902976925
369,765,-436.3138951267924
370,766,-406.68250561411315
371,767,-379.71425505270184
372,769,-441.7428295474316
373,770,-426.76854659268844
374,771,-398.8916919334196
375,773,-380.6025227400777
376,774,-442.5422704660699
377,775,-419.28804341946295
378,780,-397.25923907751667
379,784,-457.53331516976493
380,785,-511.7799836527885
381,787,-560.6019852875096
382,789,-604.5417867587586
383,791,-644.0876080828828
384,792,-679.6788472745945
385,793,-711.7109625471351
386,794,-740.5398662924216
387,795,-766.4858796631795
388,796,-789.8372916968616
389,798,-810.8535625271754
390,800,-829.768206274458
391,802,-846.7913856470121
392,805,-862.1122470823109
393,807,-875.9010223740798
394,808,-888.3109201366718
395,809,-899.4798281230046
396,813,-909.5318453107042
397,815,-918.5786607796338
398,816,-926.7207947016705
399,818,-934.0487152315035
400,821,-940.6438437083532
401,823,-946.5794593375178
402,824,-951.9215134037661
403,825,-956.7293620633895
404,828,-961.0564258570506
405,831,-964.9507832713456
406,832,-968.455704944211
407,834,-971.6101344497899
408,836,-974.449121004811
409,838,-977.0042089043299
410,843,-979.3037880138969
411,845,-981.3734092125072
412,846,-983.2360682912565
413,847,-984.9124614621309
414,848,-986.4212153159178
415,851,-987.779093784326
416,857,-989.0011844058935
417,859,-990.1010659653041
418,860,-991.0909593687737
419,861,-991.9818634318964
420,862,-992.7836770887068
421,863,-993.5053093798361
422,867,-994.1547784418525
423,869,-994.7393005976672
424,870,-995.2653705379005
425,873,-936.8388334841105
426,874,-943.1549501356994
427,875,-948.8394551221295
428,876,-953.9555096099166
429,877,-958.559958648925
430,879,-962.7039627840325
431,880,-893.3335665056292
432,881,-904.0002098550663
433,882,-913.6001888695597
434,884,-922.2401699826038
435,887,-930.0161529843434
436,889,-937.0145376859091
437,890,-943.3130839173182
438,892,-948.9817755255864
439,893,-954.0835979730277
440,896,-958.675238175725
441,897,-962.8077143581525
442,899,-966.5269429223372
443,900,-969.8742486301035
444,907,-972.8868237670931
445,908,-975.5981413903838
446,909,-978.0383272513454
447,910,-980.2344945262109
448,911,-982.2110450735898
449,912,-983.9899405662309
450,913,-985.5909465096078
451,915,-987.031851858647
452,916,-988.3286666727823
453,917,-989.4958000055041
454,920,-990.5462200049536
455,921,-991.4915980044583
456,922,-992.3424382040125
457,923,-993.1081943836112
458,925,-993.7973749452501
459,931,-994.4176374507251
460,932,-994.9758737056526
461,933,-909.4782863350873
462,935,-918.5304577015786
463,939,-841.8774119314209
464,942,-772.1896707382788
465,945,-794.9707036644509
466,949,-729.4736332980058
467,952,-672.8262699682052
468,953,-621.4436429713847
469,954,-659.2992786742462
470,956,-617.8693508068217
471,957,-656.0824157261395
472,958,-690.4741741535256
473,961,-636.826756738173
474,962,-673.1440810643558
475,964,-705.8296729579203
476,966,-735.2467056621282
477,967,-761.7220350959154
478,969,-706.0498315863239
479,971,-652.0448484276915
480,972,-602.6403635849223
481,974,-557.47632722643
482,976,-516.828694503787
483,977,-503.4458250534083
484,978,-468.4012425480675
485,979,-521.5611182932607
486,982,-503.10500646393467
487,983,-469.1945058175412
488,984,-437.17505523578706
489,987,-408.1575497122083
490,988,-382.2417947409875
491,996,-444.0176152668887
492,999,-499.6158537401998
493,1000,-463.8542683661798
494,1002,-431.2688415295618
495,1004,-403.04195737660564
496,1005,-384.63776163894505
497,1008,-361.8739854750505
498,1009,-340.4865869275455
499,1011,-321.73792823479096
500,1012,-389.5641354113119
501,1013,-450.60772187018074
502,1014,-505.54694968316267
503,1017,-470.8922547148464
504,1025,-438.9030292433618
505,1026,-413.61272631902557
506,1027,-403.75145368712305
507,1029,-377.97630831841076
508,1031,-378.0786774865697
509,1032,-355.9708097379127
510,1033,-342.37372876412144
511,1035,-408.1363558877093
512,1037,-467.3227202989384
513,1038,-462.5904482690446
514,1039,-431.2314034421401
515,1042,-402.3082630979261
516,1043,-377.4774367881335
517,1044,-354.5296931093202
518,1049,-335.77672379838816
519,1051,-317.19905141854935
520,1052,-300.4791462766944
521,1054,-344.8312316490249
522,1055,-331.0481084841224
523,1057,-397.9432976357101
524,1063,-372.74896787213913
525,1064,-351.97407108492524
526,1066,-330.8766639764327
527,1068,-397.78899757878946
528,1072,-374.9100978209105
529,1074,-354.71908803881945
530,1076,-333.6471792349375
531,1078,-314.78246131144374
532,1080,-318.70421518029934
533,1082,-301.03379366226943
534,1083,-370.9304142960425
535,1084,-359.03737286643826
536,1085,-347.93363557979444
537,1086,-333.540272021815
538,1090,-400.18624481963343
539,1092,-392.06762033767006
540,1093,-409.36085830390306
541,1099,-382.22477247351276
542,1101,-358.5022952261615
543,1103,-338.4520657035454
544,1104,-318.40685913319084
545,1105,-307.86617321987177
546,1111,-291.0795558978846
547,1114,-277.1716003080961
548,1116,-263.9544402772865
549,1119,-258.65899624955784
550,1122,-252.29309662460207
551,1123,-322.16378696214184
552,1125,-389.9474082659276
553,1126,-372.95266743933485
554,1127,-364.7574006954013
555,1128,-343.6816606258612
556,1130,-409.31349456327507
557,1131,-468.3821451069475
558,1133,-439.3439305962528
559,1134,-409.7095375366275
560,1135,-382.63858378296476
561,1138,-358.3747254046683
562,1139,-336.3372528642015
563,1141,-317.60352757778134
564,1149,-299.9431748200032
565,1150,-283.5488573380029
566,1151,-355.1939716042026
567,1152,-334.7745744437824
568,1155,-321.69711699940416
569,1156,-311.52740529946374
570,1157,-294.07466476951737
571,1160,-364.66719829256556
572,1161,-348.00047846330904
573,1162,-327.8004306169782
574,1165,-311.02038755528037
575,1177,-379.91834879975227
576,1180,-359.12651391977704
577,1182,-339.21386252779934
578,1183,-405.29247627501934
579,1185,-380.5632286475174
580,1186,-359.8069057827657
581,1189,-362.2262152044891
582,1192,-348.3035936840402
583,1193,-413.4732343156362
584,1194,-388.3259108840726
585,1195,-365.19331979566533
586,1196,-350.1739878160988
587,1197,-330.85658903448893
588,1198,-319.17093013104005
589,1199,-341.353837117936
590,1201,-322.6184534061424
591,1203,-390.3566080655281
592,1204,-372.4209472589753
593,1206,-435.1788525330777
594,1208,-491.6609672797699
595,1210,-463.4948705517929
596,1211,-517.1453834966136
597,1212,-565.4308451469523
598,1213,-529.687760632257
599,1214,-502.9189845690313
600,1215,-552.6270861121282
601,1219,-597.3643775009153
602,1224,-637.6279397508238
603,1225,-673.8651457757414
604,1227,-706.4786311981674
605,1228,-649.7307680783506
606,1232,-606.3576912705156
607,1233,-559.7219221434641
608,1234,-518.1497299291177
609,1236,-566.334756936206
610,1239,-609.7012812425853
611,1242,-648.7311531183268
612,1244,-683.8580378064942
613,1246,-672.7722340258447
614,1247,-705.4950106232602
615,1249,-734.9455095609342
616,1250,-761.4509586048408
617,1253,-785.3058627443568
618,1254,-806.7752764699211
619,1255,-746.897748822929
620,1257,-772.2079739406361
621,1258,-794.9871765465725
622,1259,-815.4884588919153
623,1261,-760.0396130027239
624,1262,-784.0356517024514
625,1263,-726.4320865322063
626,1264,-753.7888778789857
627,1265,-778.4099900910871
628,1266,-740.8689910819784
629,1271,-691.9820919737806
630,1272,-639.9838827764027
631,1274,-591.0854944987624
632,1278,-547.4769450488861
633,1279,-531.7292505439975
634,1281,-496.75632548959777
635,1285,-460.780692940638
636,1287,-434.30262364657426
637,1289,-417.97236128191685
638,1291,-400.67512515372516
639,1292,-460.60761263835263
640,1293,-434.04685137451736
641,1294,-412.44216623706563
642,1296,-391.59794961335905
643,1299,-371.83815465202315
644,1300,-355.15433918682083
645,1302,-419.6389052681387
646,1303,-477.67501474132484
647,1304,-529.9075132671924
648,1306,-576.9167619404731
649,1310,-551.5250857464257
650,1312,-596.3725771717831
651,1313,-636.7353194546048
652,1315,-673.0617875091443
653,1316,-705.7556087582299
654,1319,-735.1800478824069
655,1320,-761.6620430941663
656,1325,-785.4958387847497
657,1326,-806.9462549062747
658,1327,-752.7516294156472
659,1328,-692.3764664740825
660,1330,-709.6388198266742
661,1332,-660.4749378440067
662,1333,-608.827444059606
663,1334,-568.8446996536454
664,1335,-551.2602296882809
665,1336,-511.8342067194528
666,1337,-560.6507860475075
667,1340,-524.8857074427567
668,1343,-495.29713669848104
669,1345,-459.96742302863294
670,1347,-513.9706807257696
671,1348,-483.4736126531927
672,1349,-450.6262513878734
673,1350,-420.2636262490861
674,1351,-392.4372636241775
675,1355,-367.99353726175974
676,1359,-345.2941835355838
677,1361,-324.4647651820254
678,1362,-306.6182886638229
679,1365,-299.8564597974406
680,1366,-284.67081381769657
681,1367,-271.4037324359269
682,1370,-264.1633591923342
683,1373,-257.84702327310083
684,1374,-246.26232094579075
685,1375,-236.43608885121165
686,1377,-312.79247996609047
687,1378,-295.61323196948143
688,1379,-281.3519087725333
689,1382,-353.21671789527994
690,1384,-334.89504610575193
691,1385,-316.5055414951768
692,1386,-304.6549873456591
693,1387,-293.88948861109316
694,1388,-279.4005397499838
695,1389,-271.8604857749854
696,1391,-264.6744371974869
697,1392,-259.10699347773823
698,1395,-254.6962941299644
699,1400,-329.22666471696795
700,1412,-396.30399824527115
701,1413,-456.67359842074404
702,1414,-426.7062385786696
703,1415,-398.1356147208027
704,1419,-458.32205324872245
705,1422,-426.8898479238502
706,1423,-484.2008631314652
707,1425,-535.7807768183187
708,1426,-496.1026991364868
709,1427,-460.5924292228382
710,1428,-429.23318630055434
711,1430,-405.5098676704989
712,1432,-380.25888090344904
713,1433,-362.23299281310415
714,1434,-346.1096935317937
715,1436,-331.09872417861436
716,1437,-322.8888517607529
717,1438,-390.59996658467765
718,1440,-371.43996992620987
719,1442,-434.2959729335888
720,1448,-410.7663756402299
721,1450,-390.48973807620695
722,1455,-372.04076426858626
723,1456,-355.4366878417277
724,1460,-419.89301905755485
725,1465,-477.90371715179936
726,1466,-454.41334543661947
727,1470,-508.97201089295754
728,1474,-558.0748098036618
729,1477,-602.2673288232955
730,1480,-642.040595940966
731,1481,-592.3365363468694
732,1482,-547.3028827121825
733,1485,-506.97259444096426
734,1486,-556.2753349968679
735,1489,-523.8478014971811
736,1491,-492.06302134746295
737,1492,-542.8567192127166
738,1493,-519.471047291445
739,1500,-487.6239425623005
740,1501,-453.56154830607045
741,1502,-422.4053934754634
742,1503,-399.66485412791707
743,1505,-379.89836871512534
744,1506,-361.70853184361283
745,1507,-345.3376786592516
746,1508,-334.60391079332646
747,1509,-322.94351971399385
748,1510,-310.0491677425945
749,1511,-294.54425096833506
750,1512,-280.78982587150153
751,1513,-272.71084328435137
752,1516,-259.13975895591625
753,1518,-253.22578306032463
754,1523,-241.50320475429217
755,1524,-236.15288427886293
756,1525,-226.43759585097663
757,1527,-217.69383626587899
758,1534,-220.6244526392911
759,1536,-223.76200737536197
760,1541,-301.3858066378258
761,1542,-371.2472259740432
762,1546,-434.12250337663886
763,1548,-490.710253038975
764,1549,-541.6392277350775
765,1551,-587.4753049615697
766,1552,-628.7277744654127
767,1554,-665.8549970188715
768,1555,-699.2694973169844
769,1561,-729.342547585286
770,1562,-756.4082928267574
771,1563,-780.7674635440817
772,1568,-802.6907171896736
773,1569,-822.4216454707063
774,1578,-840.1794809236357
775,1579,-856.1615328312721
776,1582,-870.5453795481449
777,1583,-883.4908415933304
778,1584,-895.1417574339973
779,1586,-905.6275816905976
780,1588,-915.0648235215378
781,1590,-923.5583411693841
782,1593,-931.2025070524458
783,1594,-938.0822563472012
784,1596,-944.2740307124811
785,1597,-949.846627641233
786,1599,-954.8619648771097
787,1601,-959.3757683893988
788,1602,-963.4381915504589
789,1604,-967.0943723954131
790,1605,-970.3849351558717
791,1609,-973.3464416402846
792,1610,-976.0117974762562
793,1612,-978.4106177286307
794,1613,-980.5695559557676
795,1614,-982.5126003601908
796,1615,-984.2613403241718
797,1617,-985.8352062917546
