,Step,Value
0,5,1000.0
1,6,1000.0
2,10,1000.0
3,11,1000.0
4,13,1000.0
5,14,1000.0
6,15,1000.0
7,17,1000.0
8,18,1000.0
9,19,1000.0
10,20,1000.0
11,24,1000.0
12,33,1000.0
13,34,1000.0
14,36,1000.0
15,39,1000.0
16,40,1000.0
17,42,1000.0
18,44,1000.0
19,45,1000.0
20,47,1000.0
21,49,1000.0
22,50,1000.0
23,53,1000.0
24,54,1000.0
25,55,1000.0
26,56,1000.0
27,57,1000.0
28,60,1000.0
29,61,1000.0
30,63,1000.0
31,65,1000.0
32,66,1000.0
33,67,1000.0
34,68,1000.0
35,71,1000.0
36,72,1000.0
37,73,1000.0
38,74,1000.0
39,76,1000.0
40,79,1000.0
41,84,1000.0
42,85,1000.0
43,86,1000.0
44,87,1000.0
45,88,1000.0
46,89,1000.0
47,94,1000.0
48,102,1000.0
49,105,1000.0
50,106,1000.0
51,113,1000.0
52,116,1000.0
53,118,1000.0
54,119,1000.0
55,120,1000.0
56,124,1000.0
57,125,1000.0
58,126,1000.0
59,129,1000.0
60,130,1000.0
61,133,967.8
62,137,971.02
63,139,973.918
64,141,954.4262
65,142,958.98358
66,143,963.0852219999999
67,144,950.5766997999999
68,148,916.8190298199999
69,150,925.1371268379999
70,153,932.6234141541998
71,154,939.3610727387799
72,155,945.4249654649019
73,157,950.8824689184117
74,158,955.7942220265705
75,159,960.2147998239135
76,162,964.1933198415221
77,164,967.7739878573699
78,165,970.9965890716329
79,167,973.8969301644696
80,168,976.5072371480227
81,171,978.8565134332205
82,176,980.9708620898984
83,177,982.8737758809086
84,178,984.5863982928178
85,180,986.127758463536
86,181,987.5149826171825
87,183,988.7634843554642
88,185,989.8871359199178
89,186,990.898422327926
90,187,991.8085800951335
91,188,992.6277220856201
92,190,993.3649498770582
93,191,994.0284548893524
94,198,994.6256094004171
95,202,995.1630484603754
96,206,995.6467436143379
97,207,996.0820692529041
98,208,996.4738623276138
99,212,996.8264760948524
100,215,997.1438284853672
101,218,997.4294456368305
102,219,997.6865010731474
103,222,997.9178509658327
104,223,998.1260658692495
105,225,998.3134592823245
106,226,998.4821133540921
107,227,998.6339020186829
108,229,998.7705118168146
109,230,998.8934606351332
110,232,999.0041145716199
111,233,999.1037031144579
112,234,999.1933328030121
113,237,999.2739995227109
114,240,999.3465995704398
115,245,999.4119396133958
116,247,999.4707456520563
117,249,999.5236710868506
118,250,999.5713039781656
119,255,999.6141735803491
120,258,999.6527562223142
121,259,999.6874806000828
122,260,999.7187325400746
123,261,941.0468592860672
124,263,946.9421733574604
125,267,864.9479560217145
126,269,878.4531604195431
127,271,803.4078443775887
128,273,742.5670599398298
129,278,680.0103539458469
130,280,624.8093185512622
131,284,590.328386696136
132,289,549.1955480265224
133,291,511.67599322387014
134,292,477.60839390148317
135,295,453.94755451133483
136,297,432.15279906020135
137,298,410.53751915418127
138,299,392.2837672387632
139,301,375.25539051488687
140,302,354.3298514633982
141,303,343.1968663170584
142,307,327.97717968535255
143,308,314.57946171681726
144,310,303.42151554513555
145,313,287.979363990622
146,317,277.68142759155984
147,318,263.7132848324039
148,319,255.7419563491635
149,320,243.76776071424715
150,322,232.79098464282245
151,325,229.8118861785402
152,326,306.8306975606862
153,327,296.74762780461754
154,330,285.17286502415584
155,331,272.7555785217403
156,333,262.68002066956626
157,339,253.21201860260965
158,341,245.99081674234867
159,344,237.5917350681138
160,345,227.9325615613024
161,347,305.13930540517214
162,348,288.42537486465494
163,353,276.6828373781895
164,354,262.91455364037057
165,356,272.4230982763335
166,358,259.6807884487002
167,359,247.31270960383017
168,360,236.08143864344717
169,363,286.47329477910245
170,364,271.72596530119216
171,367,258.4533687710729
172,368,246.30803189396562
173,370,236.27722870456907
174,371,233.54950583411218
175,373,223.79455525070097
176,377,215.3150997256309
177,378,207.8835897530678
178,379,200.99523077776104
179,381,195.39570769998494
180,382,189.65613692998647
181,385,183.89052323698783
182,386,179.50147091328904
183,387,184.55132382196015
184,388,181.49619143976415
185,390,177.34657229578772
186,391,173.41191506620896
187,392,169.87072355958804
188,393,194.88365120362926
189,402,189.79528608326635
190,403,185.0157574749397
191,405,180.3141817274457
192,408,180.78276355470115
193,415,176.10448719923104
194,416,172.49403847930793
195,420,173.04463463137716
196,421,170.54017116823945
197,422,253.4861540514155
198,424,243.03753864627396
199,426,288.73378478164653
200,430,274.6604063034819
201,439,270.89436567313373
202,440,258.4049291058204
203,441,255.26443619523832
204,442,249.6379925757145
205,444,239.97419331814302
206,445,230.97677398632874
207,448,228.77909658769588
208,451,221.00118692892627
209,458,219.00106823603363
210,459,211.60096141243028
211,460,212.54086527118724
212,461,205.48677874406852
213,463,199.43810086966167
214,464,194.39429078269552
215,465,190.15486170442597
216,467,184.5393755339834
217,468,179.58543798058506
218,469,175.52689418252655
219,471,172.77420476427392
220,473,169.19678428784653
221,474,167.37710585906188
222,478,163.9393952731557
223,485,162.64545574584014
224,488,161.0809101712561
225,489,158.7728191541305
226,491,156.39553723871745
227,493,162.25598351484572
228,496,160.83038516336114
229,507,159.14734664702505
230,510,157.53261198232252
231,511,156.77935078409027
232,512,156.10141570568123
233,514,154.7912741351131
234,516,153.3121467216018
235,517,152.48093204944163
236,519,150.83283884449747
237,524,151.04955496004771
238,525,149.74459946404295
239,531,148.97013951763864
240,533,148.4731255658748
241,534,147.4258130092873
242,535,146.78323170835858
243,536,146.40490853752272
244,537,145.56441768377044
245,538,145.00797591539342
246,539,148.90717832385408
247,540,148.31646049146866
248,541,147.6848144423218
249,542,147.0163329980896
250,544,145.41469969828066
251,547,145.4732297284526
252,548,144.92590675560734
253,549,144.9333160800466
254,551,144.73998447204195
255,555,144.56598602483774
256,557,145.10938742235396
257,559,150.79844868011855
258,563,235.71860381210666
259,564,227.246743430896
260,565,220.7220690878064
261,567,213.04986217902578
262,569,206.04487596112318
263,571,205.94038836501088
264,573,201.94634952850978
265,574,196.9517145756588
266,577,205.05654311809292
267,579,199.45088880628364
268,580,193.70579992565527
269,581,189.33521993308975
270,582,185.60169793978076
271,583,182.24152814580268
272,584,178.5173753312224
273,586,175.96563779810015
274,587,174.66907401829013
275,592,172.3021666164611
276,593,171.571949954815
277,595,169.01475495933352
278,596,166.31327946340016
279,597,244.28195151706012
280,600,235.15375636535413
281,602,226.23838072881873
282,604,218.11454265593684
283,606,211.40308839034316
284,608,213.56277955130884
285,610,206.40650159617795
286,611,200.66585143656016
287,612,195.19926629290416
288,615,190.47933966361376
289,619,185.7314056972524
290,620,181.85826512752715
291,622,178.37243861477444
292,623,175.73519475329698
293,625,196.46167527796726
294,629,191.31550775017053
295,634,186.68395697515348
296,641,182.71556127763813
297,642,179.14400514987432
298,644,176.1296046348869
299,645,173.0166441713982
300,646,170.2149797542584
301,647,167.99348177883257
302,648,172.59413360094933
303,649,170.1347202408544
304,651,167.62124821676895
305,652,164.95912339509206
306,656,162.66321105558285
307,657,161.09688995002455
308,659,159.6872009550221
309,661,158.6184808595199
310,664,158.45663277356792
311,666,158.41096949621112
312,667,176.36987254659
313,668,173.93288529193097
314,671,212.03959676273786
315,672,205.8356370864641
316,673,199.95207337781767
317,674,194.5568660400359
318,675,189.30117943603233
319,677,184.7710614924291
320,678,181.09395534318622
321,679,177.5845598088676
322,681,174.32610382798083
323,682,171.59349344518273
324,683,170.13414410066446
325,684,169.220729690598
326,685,166.8986567215382
327,686,164.80879104938438
328,688,163.62791194444594
329,689,162.56512075000137
330,692,160.60860867500122
331,696,159.6477478075011
332,699,158.082973026751
333,700,156.9746757240759
334,701,156.0772081516683
335,703,240.46948733650143
336,704,231.62253860285128
337,705,223.26028474256617
338,706,215.23425626830954
339,708,208.6108306414786
340,709,202.14974757733074
341,710,196.43477281959767
342,714,191.8912955376379
343,718,188.2021659838741
344,719,184.58194938548667
345,721,180.923754446938
346,722,177.3313790022442
347,723,175.19824110201978
348,724,172.07841699181782
349,725,169.97057529263603
350,726,168.2735177633724
351,729,165.74616598703517
352,730,163.47154938833165
353,736,161.5243944494985
354,738,159.97195500454865
355,739,158.67475950409377
356,740,158.50728355368437
357,741,157.65655519831594
358,743,156.39089967848435
359,746,156.0518097106359
360,747,155.9466287395723
361,750,154.7519658656151
362,751,154.57676927905356
363,752,153.61909235114823
364,754,152.9571831160334
365,756,152.36146480443006
366,759,152.02531832398705
367,760,152.52278649158833
368,762,152.3705078424295
369,765,152.13345705818656
370,766,152.6201113523679
371,767,152.35810021713112
372,769,153.522290195418
373,770,153.8700611758762
374,771,154.18305505828857
375,773,154.36474955245973
376,774,153.92827459721377
377,775,154.2354471374924
378,780,153.91190242374316
379,784,155.42071218136886
380,785,155.178640963232
381,787,154.96077686690882
382,789,154.46469918021793
383,791,154.21822926219613
384,792,154.0964063359765
385,793,154.58676570237887
386,794,154.12808913214099
387,795,154.3152802189269
388,796,153.8837521970342
389,798,153.59537697733077
390,800,153.13583927959772
391,802,153.72225535163795
392,805,153.25002981647418
393,807,153.42502683482678
394,808,153.7825241513441
395,809,154.4042717362097
396,813,154.0638445625887
397,815,155.45746010632985
398,816,156.41171409569688
399,818,155.6705426861272
400,821,155.70348841751448
401,823,154.83313957576303
402,824,154.04982561818673
403,825,154.04484305636808
404,828,153.84035875073127
405,831,153.65632287565813
406,832,153.19069058809234
407,834,152.87162152928312
408,836,152.4844593763548
409,838,152.73601343871934
410,843,152.26241209484743
411,845,153.1361708853627
412,846,153.22255379682645
413,847,153.1002984171438
414,848,152.19026857542943
415,851,152.4712417178865
416,857,151.62411754609786
417,859,152.36170579148808
418,860,152.22553521233928
419,861,152.10298169110536
420,862,151.59268352199481
421,863,151.33341516979533
422,867,151.2000736528158
423,869,151.18006628753423
424,870,150.96205965878082
425,873,150.86585369290273
426,874,151.37926832361245
427,875,151.2413414912512
428,876,151.21720734212607
429,877,150.89548660791348
430,879,150.80593794712215
431,880,151.72534415240995
432,881,152.45280973716896
433,882,152.90752876345206
434,884,152.31677588710684
435,887,152.48509829839617
436,889,153.33658846855656
437,890,152.9029296217009
438,892,152.3126366595308
439,893,151.58137299357773
440,896,152.12323569421994
441,897,152.11091212479795
442,899,153.09982091231814
443,900,153.48983882108632
444,907,152.94085493897768
445,908,152.4467694450799
446,909,151.9020925005719
447,910,152.0118832505147
448,911,151.91069492546322
449,912,152.2196254329169
450,913,152.49766288962522
451,915,152.8478966006627
452,916,152.76310694059643
453,917,152.28679624653677
454,920,151.7581166218831
455,921,152.1823049596948
456,922,152.36407446372533
457,923,152.32766701735278
458,925,152.0949003156175
459,931,152.38541028405575
460,932,152.84686925565018
461,933,152.76218233008515
462,935,152.48596409707665
463,939,152.83736768736898
464,942,153.15363091863208
465,945,153.13826782676887
466,949,153.524441044092
467,952,153.3719969396828
468,953,153.53479724571451
469,954,153.68131752114306
470,956,154.01318576902875
471,957,153.81186719212587
472,958,154.3306804729133
473,961,154.59761242562195
474,962,154.53785118305976
475,964,155.38406606475377
476,966,155.3456594582784
477,967,155.81109351245055
478,969,155.3299841612055
479,971,154.89698574508495
480,972,155.00728717057646
481,974,154.9065584535188
482,976,155.11590260816692
483,977,155.20431234735022
484,978,155.48388111261522
485,979,155.2354930013537
486,982,155.91194370121832
487,983,157.2207493310965
488,984,156.69867439798685
489,987,157.02880695818817
490,988,157.12592626236938
491,996,157.61333363613244
492,999,157.65200027251922
493,1000,157.08680024526728
494,1002,156.87812022074056
495,1004,156.99030819866653
496,1005,155.99127737879988
497,1008,155.39214964091988
498,1009,154.55293467682787
499,1011,153.69764120914508
500,1012,153.32787708823057
501,1013,153.2950893794075
502,1014,153.46558044146676
503,1017,153.41902239732008
504,1025,153.47712015758808
505,1026,152.82940814182925
506,1027,152.24646732764631
507,1029,151.9218205948817
508,1031,151.8296385353935
509,1032,151.94667468185418
510,1033,152.45200721366876
511,1035,152.7068064923019
512,1037,153.53612584307172
513,1038,154.18251325876454
514,1039,154.9642619328881
515,1042,155.26783573959926
516,1043,155.84105216563933
517,1044,155.8569469490754
518,1049,155.87125225416784
519,1051,155.38412702875107
520,1052,154.94571432587597
521,1054,155.35114289328837
522,1055,155.5160286039595
523,1057,155.66442574356356
524,1063,156.1979831692072
525,1064,156.07818485228648
526,1066,156.57036636705783
527,1068,156.41332973035205
528,1072,156.97199675731684
529,1074,156.5747970815852
530,1076,157.61731737342666
531,1078,158.15558563608397
532,1080,158.54002707247557
533,1082,158.486024365228
534,1083,159.03742192870521
535,1084,159.1336797358347
536,1085,158.92031176225123
537,1086,158.5282805860261
538,1090,158.17545252742352
539,1092,158.25790727468117
540,1093,158.53211654721306
541,1099,158.47890489249176
542,1101,158.93101440324256
543,1103,159.33791296291832
544,1104,159.0041216666265
545,1105,159.60370949996386
546,1111,159.54333854996747
547,1114,159.7890046949707
548,1116,159.71010422547366
549,1119,160.0390938029263
550,1122,160.8351844226337
551,1123,160.4516659803703
552,1125,160.4064993823333
553,1126,161.1658494441
554,1127,161.44926449969
555,1128,160.904338049721
556,1130,160.9139042447489
557,1131,160.922513820274
558,1133,160.7302624382466
559,1134,160.85723619442194
560,1135,160.67151257497977
561,1138,160.4043613174818
562,1139,160.5639251857336
563,1141,160.10753266716026
564,1149,160.29677940044422
565,1150,160.2671014603998
566,1151,161.0403913143598
567,1152,160.43635218292383
568,1155,159.59271696463145
569,1156,159.8334452681683
570,1157,160.35010074135147
571,1160,160.11509066721635
572,1161,159.9035816004947
573,1162,159.91322344044525
574,1165,160.82190109640072
575,1177,161.83971098676065
576,1180,162.0557398880846
577,1182,162.75016589927614
578,1183,163.07514930934852
579,1185,164.36763437841367
580,1186,164.6308709405723
581,1189,164.4677838465151
582,1192,165.02100546186358
583,1193,165.31890491567725
584,1194,165.78701442410954
585,1195,165.30831298169858
586,1196,165.17748168352873
587,1197,165.35973351517583
588,1198,165.22376016365826
589,1199,164.70138414729243
590,1201,164.6312457325632
591,1203,164.56812115930688
592,1204,165.0113090433762
593,1206,164.81017813903856
594,1208,164.8291603251347
595,1210,164.64624429262125
596,1211,165.3816198633591
597,1212,165.3434578770232
598,1213,166.2091120893209
599,1214,165.08820088038883
600,1215,165.87938079234993
601,1219,166.29144271311495
602,1224,166.26229844180344
603,1225,165.9360685976231
604,1227,165.94246173786078
605,1228,165.0482155640747
606,1232,164.8433940076672
607,1233,164.3590546069005
608,1234,164.02314914621044
609,1236,163.42083423158942
610,1239,163.5787508084305
611,1242,163.22087572758744
612,1244,162.7987881548287
613,1246,162.81890933934585
614,1247,162.73701840541125
615,1249,162.56331656487012
616,1250,162.3069849083831
617,1253,161.77628641754478
618,1254,161.59865777579031
619,1255,161.53879199821128
620,1257,161.18491279839014
621,1258,161.16642151855112
622,1259,161.249779366696
623,1261,161.2248014300264
624,1262,161.40232128702377
625,1263,161.2620891583214
626,1264,160.93588024248925
627,1265,161.34229221824032
628,1266,161.0080629964163
629,1271,160.70725669677466
630,1272,161.2365310270972
631,1274,161.51287792438748
632,1278,162.26159013194874
633,1279,162.3354311187539
634,1281,162.2018880068785
635,1285,162.18169920619064
636,1287,162.96352928557158
637,1289,162.9671763570144
638,1291,162.57045872131297
639,1292,162.51341284918166
640,1293,162.7620715642635
641,1294,162.88586440783715
642,1296,163.09727796705343
643,1299,164.0875501703481
644,1300,184.7787951533133
645,1302,183.40091563798197
646,1303,182.36082407418377
647,1304,181.3247416667654
648,1306,180.09226750008887
649,1310,178.88304075008
650,1312,177.194736675072
651,1313,183.4752630075648
652,1315,182.52773670680833
653,1316,180.7749630361275
654,1319,180.09746673251476
655,1320,178.4877200592633
656,1325,177.83894805333696
657,1326,176.25505324800326
658,1327,175.62954792320295
659,1328,174.66659313088266
660,1330,174.1999338177944
661,1332,172.67994043601496
662,1333,172.41194639241345
663,1334,172.3707517531721
664,1335,171.73367657785488
665,1336,172.26030892006938
666,1337,171.63427802806243
667,1340,170.8708502252562
668,1343,170.88376520273056
669,1345,170.5953886824575
670,1347,169.73584981421175
671,1348,169.26226483279058
672,1349,168.63603834951152
673,1350,168.37243451456038
674,1351,167.63519106310434
675,1355,167.3716719567939
676,1359,167.33450476111452
677,1361,166.90105428500306
678,1362,166.31094885650276
679,1365,166.0798539708525
680,1366,165.97186857376724
681,1367,165.8746817163905
682,1370,166.88721354475146
683,1373,169.1984921902763
684,1374,169.67864297124868
685,1375,170.0107786741238
686,1377,169.70970080671142
687,1378,169.43873072604026
688,1379,169.69485765343623
689,1382,170.3253718880926
690,1384,175.69283469928337
691,1385,175.52355122935504
692,1386,173.97119610641954
693,1387,173.6740764957776
694,1388,174.20666884619985
695,1389,173.18600196157988
696,1391,172.4674017654219
697,1392,172.22066158887972
698,1395,171.39859542999176
699,1400,170.6587358869926
700,1412,170.79286229829333
701,1413,170.51357606846398
702,1414,170.3622184616176
703,1415,170.22599661545584
704,1419,169.90339695391026
705,1422,169.01305725851924
706,1423,170.3117515326673
707,1425,169.88057637940057
708,1426,169.49251874146051
709,1427,169.34326686731447
710,1428,168.508940180583
711,1430,169.25804616252472
712,1432,169.13224154627227
713,1433,169.21901739164505
714,1434,169.49711565248055
715,1436,169.34740408723252
716,1437,170.71266367850927
717,1438,170.94139731065837
718,1440,179.34725757959254
719,1442,178.41253182163328
720,1448,178.17127863946996
721,1450,177.15415077552296
722,1455,175.3387356979707
723,1456,174.80486212817362
724,1460,173.62437591535627
725,1465,173.36193832382065
726,1466,173.22574449143858
727,1470,171.70317004229474
728,1474,170.53285303806527
729,1477,170.87956773425876
730,1480,171.0916109608329
731,1481,170.4824498647496
732,1482,170.03420487827464
733,1485,169.83078439044715
734,1486,170.34770595140245
735,1489,170.5129353562622
736,1491,170.16164182063596
737,1492,169.74547763857237
738,1493,170.87092987471513
739,1500,171.18383688724361
740,1501,170.46545319851927
741,1502,170.31890787866735
742,1503,170.5870170908006
743,1505,170.22831538172053
744,1506,170.60548384354848
745,1507,171.24493545919364
746,1508,171.82044191327427
747,1509,181.03839772194684
748,1510,180.13455794975215
749,1511,179.42110215477692
750,1512,178.37899193929923
751,1513,186.4410927453693
752,1516,185.49698347083236
753,1518,184.24728512374912
754,1523,182.8225566113742
755,1524,180.84030095023678
756,1525,179.6562708552131
757,1527,178.5906437696918
758,1534,177.23157939272264
759,1536,176.20842145345037
760,1541,174.98757930810535
761,1542,173.78882137729482
762,1546,172.40993923956535
763,1548,171.96894531560883
764,1549,171.37205078404796
765,1551,171.03484570564314
766,1552,171.23136113507883
767,1554,171.10822502157095
768,1555,170.19740251941386
769,1561,169.87766226747246
770,1562,169.5898960407252
771,1563,169.03090643665269
772,1568,169.32781579298742
773,1569,169.59503421368868
774,1578,216.73553079231982
775,1579,219.96197771308786
776,1582,232.4657799417791
777,1583,248.6192019476012
778,1584,241.7572817528411
779,1586,234.88155357755699
780,1588,228.4933982198013
781,1590,222.44405839782115
782,1593,217.09965255803905
783,1594,212.48968730223515
784,1596,207.84071857201164
785,1597,204.75664671481047
786,1599,200.78098204332943
787,1601,197.20288383899648
788,1602,194.58259545509682
789,1604,192.12433590958713
790,1605,189.91190231862842
791,1609,188.12071208676556
792,1610,185.60864087808903
793,1612,183.2477767902801
794,1613,181.72299911125208
795,1614,180.25069920012686
796,1615,179.6256292801142
797,1617,178.5630663521028
798,1618,177.9067597168925
799,1619,177.01608374520328
800,1620,177.21447537068295
801,1624,176.99302783361466
802,1626,175.7937250502532
803,1627,175.21435254522788
804,1628,174.2929172907051
805,1630,173.8636255616346
806,1632,173.97726300547114
807,1634,173.57953670492404
808,1636,174.42158303443162
809,1637,173.37942473098846
810,1638,174.2414822578896
811,1640,175.01733403210062
812,1641,175.01560062889055
813,1642,175.1140405660015
814,1643,175.00263650940136
815,1644,190.3023728584612
816,1645,196.57213557261508
817,1647,194.31492201535357
818,1648,200.28342981381823
819,1651,197.8550868324364
820,1652,196.16957814919274
821,1654,194.05262033427348
822,1655,191.74735830084614
823,1658,188.97262247076154
824,1659,186.77536022368537
825,1660,184.99782420131683
826,1661,182.99804178118515
827,1662,181.29823760306664
