,Step,Value
0,5,-1000.0
1,6,-1000.0
2,10,-1000.0
3,11,-1000.0
4,13,-1000.0
5,14,-1000.0
6,15,-1000.0
7,17,-1000.0
8,18,-1000.0
9,19,-1000.0
10,20,-1000.0
11,24,-1000.0
12,33,-1000.0
13,34,-1000.0
14,36,-1000.0
15,39,-1000.0
16,40,-1000.0
17,42,-1000.0
18,44,-1000.0
19,45,-1000.0
20,47,-1000.0
21,49,-1000.0
22,50,-1000.0
23,53,-1000.0
24,54,-1000.0
25,55,-1000.0
26,56,-1000.0
27,57,-1000.0
28,60,-1000.0
29,61,-1000.0
30,63,-1000.0
31,65,-1000.0
32,66,-1000.0
33,67,-1000.0
34,68,-1000.0
35,71,-1000.0
36,72,-1000.0
37,73,-1000.0
38,74,-1000.0
39,76,-1000.0
40,79,-1000.0
41,84,-1000.0
42,85,-1000.0
43,86,-1000.0
44,87,-1000.0
45,88,-1000.0
46,89,-1000.0
47,94,-1000.0
48,102,-1000.0
49,105,-1000.0
50,106,-1000.0
51,113,-969.2
52,116,-972.2800000000001
53,118,-975.0520000000001
54,119,-950.3468000000001
55,120,-955.3121200000002
56,124,-959.7809080000002
57,125,-921.3028172000002
58,126,-929.1725354800002
59,129,-936.2552819320002
60,130,-942.6297537388002
61,133,-948.3667783649203
62,137,-944.5301005284283
63,139,-950.0770904755855
64,141,-955.069381428027
65,142,-955.5624432852243
66,143,-960.0061989567018
67,144,-964.0055790610317
68,148,-967.6050211549285
69,150,-970.8445190394357
70,153,-973.7600671354921
71,154,-976.384060421943
72,155,-978.7456543797487
73,157,-980.8710889417738
74,158,-982.7839800475964
75,159,-984.5055820428367
76,162,-986.0550238385531
77,164,-979.8495214546978
78,165,-981.864569309228
79,167,-970.2781123783053
80,168,-973.2503011404748
81,171,-975.9252710264274
82,176,-978.3327439237846
83,177,-980.4994695314061
84,178,-982.4495225782655
85,180,-984.204570320439
86,181,-946.7841132883951
87,183,-906.3057019595556
88,185,-867.8751317635999
89,186,-832.58761858724
90,187,-829.8288567285159
91,188,-780.4459710556644
92,190,-802.401373950098
93,191,-775.3612365550882
94,198,-756.5251128995794
95,202,-718.7726016096215
96,206,-746.8953414486593
97,207,-772.2058073037934
98,208,-794.9852265734141
99,212,-815.4867039160728
100,215,-833.9380335244655
101,218,-850.544230172019
102,219,-865.4898071548171
103,222,-878.9408264393354
104,223,-891.0467437954019
105,225,-901.9420694158617
106,226,-906.6478624742756
107,227,-915.9830762268481
108,229,-924.3847686041632
109,230,-931.9462917437469
110,232,-919.0516625693722
111,233,-927.146496312435
112,234,-934.4318466811916
113,237,-940.9886620130725
114,240,-946.8897958117652
115,245,-952.2008162305888
116,247,-956.9807346075299
117,249,-915.982661146777
118,250,-924.3843950320993
119,255,-931.9459555288894
120,258,-938.7513599760005
121,259,-944.8762239784004
122,260,-884.7886015805603
123,261,-896.3097414225043
124,263,-906.6787672802539
125,267,-916.0108905522285
126,269,-924.4098014970057
127,271,-931.9688213473052
128,273,-938.7719392125747
129,278,-944.8947452913172
130,280,-950.4052707621855
131,284,-955.364743685967
132,289,-959.8282693173703
133,291,-886.8454423856333
134,292,-898.16089814707
135,295,-908.3448083323631
136,297,-917.5103274991268
137,298,-925.7592947492142
138,299,-933.1833652742928
139,301,-939.8650287468636
140,302,-945.8785258721772
141,303,-873.1906732849594
142,307,-885.8716059564634
143,308,-897.2844453608171
144,310,-907.5560008247354
145,313,-876.4004007422619
146,317,-888.7603606680358
147,318,-832.3843246012323
148,319,-849.145892141109
149,320,-864.2313029269982
150,322,-877.8081726342983
151,325,-890.0273553708685
152,326,-901.0246198337817
153,327,-910.9221578504036
154,330,-841.9299420653632
155,331,-857.7369478588269
156,333,-871.9632530729442
157,339,-884.7669277656498
158,341,-896.2902349890849
159,344,-828.1612114901764
160,345,-845.3450903411588
161,347,-860.8105813070429
162,348,-874.7295231763386
163,353,-887.2565708587048
164,354,-898.5309137728343
165,356,-908.677822395551
166,358,-917.8100401559959
167,359,-926.0290361403963
168,360,-933.4261325263567
169,363,-863.0835192737211
170,364,-876.775167346349
171,367,-889.0976506117141
172,368,-900.1878855505428
173,370,-910.1690969954885
174,371,-919.1521872959397
175,373,-876.8369685663458
176,377,-889.1532717097112
177,378,-900.2379445387402
178,379,-910.2141500848662
179,381,-841.6927350763796
180,382,-857.5234615687416
181,385,-871.7711154118674
182,386,-884.5940038706807
183,387,-896.1346034836126
184,388,-906.5211431352514
185,390,-858.3690288217263
186,391,-826.3321259395536
187,392,-843.6989133455983
188,393,-859.3290220110384
189,402,-873.3961198099346
190,403,-812.3565078289411
191,405,-799.1208570460469
192,408,-819.2087713414422
193,415,-837.287894207298
194,416,-853.5591047865682
195,420,-868.2031943079114
196,421,-813.4828748771204
197,422,-832.1345873894084
198,424,-848.9211286504675
199,426,-864.0290157854207
200,430,-877.6261142068787
201,439,-812.7635027861908
202,440,-789.3871525075717
203,441,-757.8484372568146
204,442,-723.7635935311332
205,444,-751.3872341780199
206,445,-749.4485107602179
207,448,-774.5036596841961
208,451,-728.1532937157765
209,458,-675.9379643441989
210,459,-641.144167909779
211,460,-677.0297511188011
212,461,-631.426776006921
213,463,-589.984098406229
214,464,-552.785688565606
215,465,-597.5071197090455
216,467,-572.956407738141
217,468,-537.260766964327
218,469,-583.5346902678942
219,471,-596.8812212411049
220,473,-637.1930991169944
221,474,-600.373789205295
222,478,-640.3364102847655
223,485,-599.702769256289
224,488,-563.2324923306601
225,489,-528.309243097594
226,491,-498.07831878783463
227,493,-469.97048690905115
228,496,-444.373438218146
229,507,-430.3360943963314
230,510,-464.6024849566983
231,511,-488.54223646102844
232,512,-460.48801281492564
233,514,-435.7392115334331
234,516,-492.1652903800898
235,517,-542.9487613420808
236,519,-513.1538852078727
237,524,-482.0384966870854
238,525,-458.53464701837686
239,531,-437.5811823165392
240,533,-425.92306408488525
241,534,-403.5307576763967
242,535,-463.177681908757
243,536,-498.45991371788125
244,537,-476.31392234609314
245,538,-449.58253011148383
246,539,-427.9242771003355
247,540,-405.3318493903019
248,541,-384.89866445127166
249,542,-366.5087980061445
250,544,-352.75791820553
251,547,-337.882126384977
252,548,-332.49391374647934
253,549,-324.5445223718314
254,551,-311.3900701346483
255,555,-380.2510631211834
256,557,-442.225956809065
257,559,-427.4033611281585
258,563,-417.06302501534265
259,564,-400.1567225138084
260,565,-379.2410502624276
261,567,-441.3169452361849
262,569,-497.18525071256636
263,571,-474.6667256413097
264,573,-451.4000530771787
265,574,-428.66004776946085
266,577,-485.79404299251473
267,579,-460.7146386932633
268,580,-437.54317482393697
269,581,-416.18885734154327
270,582,-397.7699716073889
271,583,-457.99297444665
272,584,-431.793677001985
273,586,-413.6143093017865
274,587,-399.55287837160785
275,592,-378.79759053444707
276,593,-368.2178314810024
277,595,-359.29604833290216
278,596,-423.36644349961193
279,597,-405.4297991496507
280,600,-396.3868192346856
281,602,-452.34813731121704
282,604,-430.21332358009533
283,606,-419.8919912220858
284,608,-399.1027920998772
285,610,-389.7925128898895
286,611,-378.7132616009005
287,612,-359.24193544081044
288,615,-423.31774189672933
289,619,-420.48596770705643
290,620,-429.7373709363508
291,622,-406.96363384271575
292,623,-397.66727045844414
293,625,-390.20054341259976
294,629,-451.1804890713397
295,634,-442.2624401642057
296,641,-433.93619614778515
297,642,-419.2425765330066
298,644,-399.918318879706
299,645,-401.92648699173543
300,646,-407.0338382925619
301,647,-396.13045446330574
302,648,-382.0174090169752
303,649,-443.8156681152776
304,651,-499.4341013037498
305,652,-485.8906911733748
306,656,-537.3016220560373
307,657,-512.3714598504336
308,659,-487.9343138653902
309,661,-463.2408824788512
310,664,-439.11679423096604
311,666,-417.70511480786945
312,667,-396.53460332708255
313,668,-383.88114299437433
314,671,-445.4930286949369
315,672,-430.64372582544325
316,673,-412.87935324289896
317,674,-400.59141791860907
318,675,-383.5322761267482
319,677,-445.1790485140733
320,678,-424.961143662666
321,679,-408.96502929639945
322,681,-394.9685263667595
323,682,-381.1716737300835
324,683,-365.8545063570752
325,684,-384.9690557213677
326,685,-372.1721501492309
327,686,-361.25493513430786
328,688,-341.32944162087705
329,689,-331.69649745878934
330,692,-323.0268477129104
331,696,-317.4241629416194
332,699,-304.98174664745744
333,700,-293.08357198271165
334,701,-295.67521478444047
335,703,-295.8076933059964
336,704,-293.82692397539677
337,705,-297.5442315778571
338,706,-288.0898084200714
339,708,-284.1808275780642
340,709,-275.7627448202578
341,710,-264.686470338232
342,714,-268.0178233044088
343,718,-271.7160409739679
344,719,-274.04443687657107
345,721,-268.839993188914
346,722,-266.8559938700226
347,723,-271.17039448302035
348,724,-344.05335503471827
349,725,-409.6480195312464
350,726,-395.4832175781218
351,729,-380.6348958203096
352,730,-376.97140623827863
353,736,-439.27426561445077
354,738,-419.94683905300565
355,739,-406.7521551477051
356,740,-394.77693963293456
357,741,-383.1992456696411
358,743,-369.27932110267693
359,746,-359.0513889924092
360,747,-349.8462500931683
361,750,-338.76162508385147
362,751,-332.5854625754663
363,752,-325.9269163179197
364,754,-322.7342246861277
365,756,-316.06080221751495
366,759,-311.95472199576346
367,760,-327.05924979618715
368,762,-314.15332481656844
369,765,-302.2379923349116
370,766,-292.81419310142047
371,767,-363.5327737912784
372,769,-354.7794964121506
373,770,-348.2015467709355
374,771,-346.4813920938419
375,773,-345.33325288445775
376,774,-410.7999275960119
377,775,-469.71993483641074
378,780,-458.3479413527697
379,784,-441.8131472174927
380,785,-426.0318324957434
381,787,-422.7286492461691
382,789,-405.35578432155216
383,791,-390.02020588939695
384,792,-382.1181853004573
385,793,-378.7063667704116
386,794,-366.53573009337043
387,795,-355.8821570840334
388,796,-343.7939413756301
389,798,-341.6145472380671
390,800,-332.6530925142604
391,802,-323.08778326283436
392,805,-312.77900493655096
393,807,-307.40110444289587
394,808,-300.6609939986063
395,809,-294.49489459874565
396,813,-290.14540513887107
397,815,-277.830864624984
398,816,-278.4477781624856
399,818,-269.503000346237
400,821,-269.4527003116133
401,823,-260.30743028045197
402,824,-250.57668725240677
403,825,-254.8190185271661
404,828,-245.73711667444948
405,831,-240.06340500700455
406,832,-232.9570645063041
407,834,-227.0613580556737
408,836,-228.95522225010635
409,838,-223.4597000250957
410,843,-222.11373002258614
411,845,-230.00235702032754
412,846,-227.4021213182948
413,847,-225.06190918646533
414,848,-302.55571826781875
415,851,-318.40014644103684
416,857,-307.56013179693315
417,859,-323.7041186172398
418,860,-391.3337067555158
419,861,-381.60033607996417
420,862,-361.34030247196773
421,863,-344.1062722247709
422,867,-327.1956450022938
423,869,-315.17608050206445
424,870,-301.758472451858
425,873,-289.18262520667224
426,874,-286.164362686005
427,875,-290.2479264174045
428,876,-288.32313377566413
429,877,-359.49082039809775
430,879,-349.64173835828797
431,880,-342.07756452245917
432,881,-332.4698080702133
433,882,-325.52282726319197
434,884,-321.1705445368728
435,887,-315.4534900831855
436,889,-300.90814107486693
437,890,-295.01732696738026
438,892,-293.5155942706422
439,893,-291.464034843578
440,896,-285.61763135922024
441,897,-357.05586822329815
442,899,-346.75028140096833
443,900,-331.9752532608715
444,907,-327.3777279347844
445,908,-318.939955141306
446,909,-387.0459596271753
447,910,-368.5413636644578
448,911,-356.587227298012
449,912,-345.72850456821084
450,913,-335.35565411138975
451,915,-317.9200887002508
452,916,-327.1280798302257
453,917,-320.21527184720316
454,920,-311.7937446624828
455,921,-304.4143701962346
456,922,-297.27293317661116
457,923,-285.34563985895005
458,925,-279.9110758730551
459,931,-270.4199682857496
460,932,-268.7779714571746
461,933,-265.3001743114571
462,935,-266.97015688031144
463,939,-256.77314119228026
464,942,-249.79582707305224
465,945,-245.016244365747
466,949,-238.41461992917232
467,952,-230.8731579362551
468,953,-236.1858421426296
469,954,-230.16725792836664
470,956,-232.55053213552998
471,957,-233.29547892197698
472,958,-237.56593102977928
473,961,-247.50933792680135
474,962,-257.4584041341212
475,964,-258.9125637207091
476,966,-259.6213073486382
477,967,-258.25917661377434
478,969,-258.83325895239693
479,971,-260.3499330571572
480,972,-261.1149397514415
481,974,-252.40344577629736
482,976,-244.2631011986676
483,977,-240.73679107880085
484,978,-243.66311197092077
485,979,-246.2968007738287
486,982,-238.26712069644583
487,983,-238.84040862680126
488,984,-256.6563677641211
489,987,-259.390730987709
490,988,-251.55165788893808
491,996,-253.39649210004427
492,999,-260.95684289003987
493,1000,-250.8611586010359
494,1002,-241.77504274093232
495,1004,-235.39753846683908
496,1005,-240.05778462015516
497,1008,-233.85200615813966
498,1009,-228.7668055423257
499,1011,-222.29012498809314
500,1012,-217.06111248928383
501,1013,-212.45500124035544
502,1014,-214.1095011163199
503,1017,-212.09855100468792
504,1025,-215.28869590421914
505,1026,-213.3598263137972
506,1027,-210.4238436824175
507,1029,-215.88145931417574
508,1031,-211.6933133827582
509,1032,-217.62398204448237
510,1033,-220.66158384003413
511,1035,-298.5954254560307
512,1037,-284.7358829104276
513,1038,-274.5622946193849
514,1039,-265.9060651574464
515,1042,-266.01545864170174
516,1043,-260.41391277753155
517,1044,-260.6725214997784
518,1049,-250.50526934980056
519,1051,-245.35474241482052
520,1052,-236.91926817333848
521,1054,-228.82734135600464
522,1055,-223.04460722040417
523,1057,-220.64014649836378
524,1063,-214.6761318485274
525,1064,-223.20851866367468
526,1066,-224.5876667973072
527,1068,-218.02890011757648
528,1072,-212.72601010581883
529,1074,-214.95340909523696
530,1076,-218.45806818571327
531,1078,-224.51226136714195
532,1080,-229.16103523042776
533,1082,-233.14493170738498
534,1083,-226.83043853664648
535,1084,-221.04739468298183
536,1085,-216.54265521468363
537,1086,-217.48838969321528
538,1090,-220.23955072389376
539,1092,-298.2155956515044
540,1093,-368.39403608635394
541,1099,-358.55463247771854
542,1101,-347.09916922994665
543,1103,-328.289252306952
544,1104,-321.9603270762568
545,1105,-306.16429436863115
546,1111,-291.94786493176804
547,1114,-279.85307843859124
548,1116,-287.2677705947321
549,1119,-283.9409935352589
550,1122,-287.146894181733
551,1123,-288.8322047635597
552,1125,-279.2489842872037
553,1126,-279.72408585848336
554,1127,-269.351677272635
555,1128,-275.1165095453715
556,1130,-266.8048585908344
557,1131,-266.12437273175095
558,1133,-339.51193545857586
559,1134,-326.9607419127183
560,1135,-321.16466772144645
561,1138,-325.4482009493018
562,1139,-392.90338085437156
563,1141,-379.3130427689344
564,1149,-358.18173849204095
565,1150,-341.76356464283685
566,1151,-324.08720817855317
567,1152,-309.8784873606979
568,1155,-303.59063862462807
569,1156,-289.63157476216526
570,1157,-276.86841728594874
571,1160,-273.58157555735386
572,1161,-270.0234180016185
573,1162,-261.42107620145663
574,1165,-259.678968581311
575,1177,-251.1110717231799
576,1180,-252.7999645508619
577,1182,-264.2199680957757
578,1183,-337.7979712861981
579,1185,-328.3181741575783
580,1186,-395.4863567418205
581,1189,-382.3377210676384
582,1192,-378.8039489608746
583,1193,-370.72355406478715
584,1194,-367.45119865830844
585,1195,-356.4060787924776
586,1196,-346.5654709132299
587,1197,-342.6089238219069
588,1198,-408.34803143971624
589,1199,-394.5132282957446
590,1201,-372.1619054661702
591,1203,-360.1457149195532
592,1204,-358.83114342759785
593,1206,-345.34802908483806
594,1208,-337.51322617635424
595,1210,-327.1619035587188
596,1211,-318.14571320284693
597,1212,-310.4311418825622
598,1213,-305.48802769430597
599,1214,-291.33922492487534
600,1215,-287.50530243238785
601,1219,-282.9547721891491
602,1224,-279.95929497023417
603,1225,-280.06336547321075
604,1227,-279.85702892588967
605,1228,-286.0713260333007
606,1232,-282.46419342997063
607,1233,-278.91777408697357
608,1234,-268.8259966782762
609,1236,-267.6433970104486
610,1239,-270.27905730940375
611,1242,-269.3511515784634
612,1244,-269.01603642061707
613,1246,-304.21443277855536
614,1247,-301.29298950069983
615,1249,-296.46369055062985
616,1250,-293.41732149556685
617,1253,-293.8755893460102
618,1254,-290.98803041140917
619,1255,-286.28922737026824
620,1257,-283.1603046332414
621,1258,-283.7442741699173
622,1259,-275.46984675292555
623,1261,-273.822862077633
624,1262,-270.84057586986967
625,1263,-261.8565182828827
626,1264,-262.17086645459443
627,1265,-252.653779809135
628,1266,-245.4884018282215
629,1271,-251.23956164539933
630,1272,-253.11560548085941
631,1274,-259.00404493277347
632,1278,-266.5036404394961
633,1279,-267.3532763955465
634,1281,-270.71794875599187
635,1285,-263.0461538803927
636,1287,-263.94153849235346
637,1289,-337.5473846431181
638,1291,-332.89264617880633
639,1292,-335.4033815609257
640,1293,-331.36304340483315
641,1294,-323.22673906434983
642,1296,-328.6040651579148
643,1299,-321.64365864212334
644,1300,-323.07929277791106
645,1302,-321.1713635001199
646,1303,-331.35422715010793
647,1304,-377.3188044350971
648,1306,-368.8869239915874
649,1310,-356.7982315924287
650,1312,-356.61840843318583
651,1313,-353.8565675898672
652,1315,-344.2709108308805
653,1316,-333.9438197477924
654,1319,-335.5494377730132
655,1320,-326.5944939957119
656,1325,-312.3350445961407
657,1326,-305.90154013652665
658,1327,-300.311386122874
659,1328,-297.3802475105866
660,1330,-291.14222275952795
661,1332,-279.3280004835752
662,1333,-275.5952004352177
663,1334,-273.5356803916959
664,1335,-271.38211235252635
665,1336,-260.34390111727373
666,1337,-251.30951100554637
667,1340,-249.67855990499174
668,1343,-241.81070391449256
669,1345,-243.6296335230433
670,1347,-243.166670170739
671,1348,-245.1500031536651
672,1349,-238.1350028382986
673,1350,-230.22150255446874
674,1351,-232.39935229902187
675,1355,-233.25941706911968
676,1359,-226.5334753622077
677,1361,-219.88012782598693
678,1362,-214.79211504338824
679,1365,-209.6129035390494
680,1366,-213.65161318514447
681,1367,-208.28645186663002
682,1370,-211.657806679967
683,1373,-207.29202601197028
684,1374,-207.26282341077325
685,1375,-204.53654106969594
686,1377,-200.68288696272634
687,1378,-198.11459826645373
688,1379,-195.80313843980835
689,1382,-192.4228245958275
690,1384,-189.38054213624474
691,1385,-186.24248792262028
692,1386,-186.61823913035826
693,1387,-184.65641521732243
694,1388,-184.1907736955902
695,1389,-182.87169632603118
696,1391,-180.38452669342809
697,1392,-178.84607402408528
698,1395,-177.66146662167674
699,1400,-176.49531995950906
700,1412,-176.54578796355815
701,1413,-176.19120916720232
702,1414,-187.9720882504821
703,1415,-185.87487942543387
704,1419,-189.1873914828905
705,1422,-212.66865233460146
706,1423,-230.30178710114131
707,1425,-225.1716083910272
708,1426,-232.85444755192447
709,1427,-235.36900279673202
710,1428,-235.1321025170588
711,1430,-239.51889226535292
712,1432,-240.56700303881763
713,1433,-234.11030273493586
714,1434,-261.89927246144225
715,1436,-265.509345215298
716,1437,-282.4584106937682
717,1438,-354.21256962439134
718,1440,-418.79131266195213
719,1442,-476.9121813957569
720,1448,-453.52096325618123
721,1450,-431.1688669305631
722,1455,-411.2519802375068
723,1456,-393.42678221375616
724,1460,-377.98410399238054
725,1465,-358.6856935931425
726,1466,-349.1171242338283
727,1470,-340.5054118104455
728,1474,-333.45487062940094
729,1477,-332.80938356646084
730,1480,-320.6284452098148
731,1481,-369.76560068883333
732,1482,-432.78904061995
733,1485,-421.81013655795505
734,1486,-410.4291229021596
735,1489,-397.8862106119436
736,1491,-385.1975895507493
737,1492,-418.27783059567435
738,1493,-476.4500475361069
739,1500,-454.7050427824962
740,1501,-451.0345385042466
741,1502,-451.23108465382194
742,1503,-506.1079761884397
743,1505,-480.19717856959574
744,1506,-465.2774607126362
745,1507,-453.14971464137255
746,1508,-444.73474317723526
747,1509,-500.2612688595117
748,1510,-483.03514197356054
749,1511,-534.7316277762045
750,1512,-516.4584649985841
751,1513,-506.51261849872566
752,1516,-488.6613566488531
753,1518,-473.89522098396776
754,1523,-465.805698885571
755,1524,-446.52512899701395
756,1525,-426.77261609731255
757,1527,-408.7953544875813
758,1534,-392.3158190388231
759,1536,-377.48423713494077
760,1541,-364.3358134214467
761,1542,-346.5022320793021
762,1546,-331.6520088713719
763,1548,-315.7868079842347
764,1549,-318.70812718581124
765,1551,-312.1373144672301
766,1552,-298.4235830205071
767,1554,-286.6812247184564
