,Step,Value
0,5,1000.0
1,6,1000.0
2,10,1000.0
3,11,1000.0
4,13,1000.0
5,14,1000.0
6,15,1000.0
7,17,1000.0
8,18,1000.0
9,19,1000.0
10,20,1000.0
11,24,1000.0
12,33,1000.0
13,34,1000.0
14,36,1000.0
15,39,1000.0
16,40,1000.0
17,42,1000.0
18,44,1000.0
19,45,1000.0
20,47,1000.0
21,49,1000.0
22,50,1000.0
23,53,1000.0
24,54,1000.0
25,55,1000.0
26,56,1000.0
27,57,1000.0
28,60,1000.0
29,61,1000.0
30,63,1000.0
31,65,1000.0
32,66,1000.0
33,67,1000.0
34,68,1000.0
35,71,1000.0
36,72,1000.0
37,73,1000.0
38,74,1000.0
39,76,1000.0
40,79,1000.0
41,84,1000.0
42,85,1000.0
43,86,1000.0
44,87,1000.0
45,88,1000.0
46,89,1000.0
47,94,1000.0
48,102,1000.0
49,105,1000.0
50,106,1000.0
51,113,1000.0
52,116,1000.0
53,118,1000.0
54,119,1000.0
55,120,1000.0
56,124,1000.0
57,125,1000.0
58,126,1000.0
59,129,1000.0
60,130,1000.0
61,133,1000.0
62,137,1000.0
63,139,1000.0
64,141,1000.0
65,142,1000.0
66,143,1000.0
67,144,1000.0
68,148,1000.0
69,150,1000.0
70,153,1000.0
71,154,1000.0
72,155,1000.0
73,157,1000.0
74,158,1000.0
75,159,1000.0
76,162,1000.0
77,164,1000.0
78,165,1000.0
79,167,1000.0
80,168,1000.0
81,171,1000.0
82,176,1000.0
83,177,1000.0
84,178,1000.0
85,180,1000.0
86,181,1000.0
87,183,1000.0
88,185,1000.0
89,186,1000.0
90,187,1000.0
91,188,1000.0
92,190,1000.0
93,191,1000.0
94,198,1000.0
95,202,1000.0
96,206,1000.0
97,207,1000.0
98,208,1000.0
99,212,1000.0
100,215,1000.0
101,218,1000.0
102,219,1000.0
103,222,1000.0
104,223,1000.0
105,225,1000.0
106,226,1000.0
107,227,1000.0
108,229,1000.0
109,230,1000.0
110,232,1000.0
111,233,1000.0
112,234,1000.0
113,237,1000.0
114,240,1000.0
115,245,1000.0
116,247,1000.0
117,249,1000.0
118,250,1000.0
119,255,1000.0
120,258,1000.0
121,259,1000.0
122,260,1000.0
123,261,1000.0
124,263,1000.0
125,267,1000.0
126,269,1000.0
127,271,1000.0
128,273,1000.0
129,278,930.1
130,280,937.09
131,284,943.3810000000001
132,289,862.2429000000002
133,291,792.8186100000001
134,292,742.7367490000001
135,295,731.7630741000002
136,297,758.5867666900001
137,298,701.3280900210001
138,299,649.9952810189001
139,301,613.4957529170101
140,302,571.0461776253092
141,303,540.4415598627783
142,307,513.3974038765004
143,308,496.2576634888504
144,310,466.43189713996543
145,313,438.88870742596885
146,317,417.999836683372
147,318,401.6998530150348
148,319,379.52986771353136
149,320,405.2768809421782
150,322,389.14919284796036
151,325,450.23427356316427
152,326,417.8108462068479
153,327,394.92976158616307
154,330,371.4367854275468
155,331,355.0931068847921
156,333,337.0837961963129
157,339,318.47541657668165
158,341,301.1278749190135
159,344,371.0150874271121
160,345,356.3135786844009
161,347,339.1822208159608
162,348,323.06399873436476
163,353,303.65759886092826
164,354,293.3918389748354
165,356,280.8526550773519
166,358,352.76738956961674
167,359,330.0906506126551
168,360,313.1815855513896
169,363,298.76342699625064
170,364,282.4870842966256
171,367,269.03837586696307
172,368,256.33453828026677
173,370,244.8010844522401
174,371,233.3209760070161
175,373,222.98887840631448
176,377,220.88999056568304
177,378,212.20099150911474
178,379,205.08089235820327
179,381,198.17280312238293
180,382,194.25552281014464
181,385,188.82997052913018
182,386,184.64697347621714
183,387,179.4822761285954
184,388,175.93404851573587
185,390,172.04064366416227
186,391,168.03657929774604
187,392,164.43292136797143
188,393,161.78962923117427
189,402,159.41066630805688
190,403,157.46959967725118
191,405,156.52263970952606
192,408,160.67037573857345
193,415,187.10333816471612
194,416,182.29300434824452
195,420,184.4637039134201
196,421,186.11733352207807
197,422,187.40560016987027
198,424,182.46504015288326
199,426,178.21853613759495
200,430,197.39668252383547
201,439,197.7570142714519
202,440,199.58131284430672
203,441,198.92318155987607
204,442,193.13086340388847
205,444,273.8177770634996
206,445,266.8359993571496
207,448,259.6523994214346
208,451,251.58715947929116
209,458,259.82844353136204
210,459,254.54559917822584
211,460,255.19103926040324
212,461,256.1719353343629
213,463,257.8547418009266
214,464,332.0692676208339
215,465,398.8623408587505
216,467,458.97610677287537
217,468,513.0784960955879
218,469,561.770646486029
219,471,605.5935818374261
220,473,645.0342236536835
221,474,680.5308012883152
222,478,712.4777211594836
223,485,660.6299490435352
224,488,631.0669541391817
225,489,606.4602587252635
226,491,566.4142328527372
227,493,530.1728095674634
228,496,497.2555286107171
229,507,461.72997574964535
230,510,441.2569781746808
231,511,497.13128035721275
232,512,467.3181523214915
233,514,435.38633708934236
234,516,412.5477033804081
235,517,385.19293304236726
236,519,366.0736397381305
237,524,429.4662757643174
238,525,486.51964818788565
239,531,469.46768336909713
240,533,456.0209150321874
241,534,424.1188235289687
242,535,404.50694117607185
243,536,383.8562470584647
244,537,359.67062235261824
245,538,337.4035601173564
246,539,327.06320410562074
247,540,315.8568836950587
248,541,312.1711953255528
249,542,302.3540757929975
250,544,292.0186682136977
251,547,288.9168013923279
252,548,280.3251212530951
253,549,274.8926091277856
254,551,274.40334821500704
255,555,268.46301339350634
256,557,258.2167120541557
257,559,260.09504084874015
258,563,334.0855367638661
259,564,315.0769830874795
260,565,304.6692847787316
261,567,296.60235630085845
262,569,283.1421206707726
263,571,276.62790860369535
264,573,348.9651177433258
265,574,414.0686059689932
266,577,393.8617453720939
267,579,376.9755708348845
268,580,364.878013751396
269,581,428.3902123762564
270,582,485.55119113863077
271,583,458.8960720247677
272,584,439.2064648222909
273,586,415.1858183400618
274,587,394.2672365060556
275,592,375.04051285545006
276,593,362.73646156990503
277,595,377.36281541291453
278,596,360.8265338716231
279,597,345.7438804844608
280,600,411.1694924360147
281,602,470.05254319241317
282,604,443.6472888731719
283,606,499.2825599858546
284,608,549.3543039872692
285,610,594.4188735885423
286,611,555.7769862296881
287,612,600.1992876067193
288,615,640.1793588460474
289,619,603.6614229614427
290,620,565.2952806652984
291,622,530.0657525987685
292,623,499.2591773388917
293,625,464.5332596050025
294,629,432.97993364450224
295,634,404.381940280052
296,641,391.74374625204683
297,642,385.56937162684216
298,644,386.9124344641579
299,645,381.7211910177421
300,646,407.14907191596785
301,647,466.43416472437104
302,648,519.7907482519339
303,649,567.8116734267405
304,651,611.0305060840665
305,652,623.6274554756599
306,656,661.2647099280939
307,657,695.1382389352846
308,659,725.6244150417562
309,661,753.0619735375806
310,664,777.7557761838225
311,666,799.9801985654402
312,667,819.9821787088962
313,668,837.9839608380066
314,671,854.185564754206
315,672,868.7670082787854
316,673,881.8903074509069
317,674,893.7012767058162
318,675,904.3311490352346
319,677,913.8980341317111
320,678,922.5082307185401
321,679,930.257407646686
322,681,937.2316668820174
323,682,943.5085001938157
324,683,949.1576501744341
325,684,954.2418851569907
326,685,958.8176966412917
327,686,962.9359269771626
328,688,966.6423342794463
329,689,969.9781008515017
330,692,972.9802907663516
331,696,975.6822616897165
332,699,978.1140355207449
333,700,980.3026319686704
334,701,982.2723687718034
335,703,984.0451318946231
336,704,985.6406187051608
337,705,987.0765568346447
338,706,988.3689011511802
339,708,989.5320110360623
340,709,990.578809932456
341,710,991.5209289392104
342,714,992.3688360452894
343,718,993.1319524407605
344,719,993.8187571966845
345,721,994.4368814770161
346,722,994.9931933293145
347,723,995.4938739963831
348,724,995.9444865967448
349,725,996.3500379370704
350,726,996.7150341433634
351,729,997.043530729027
352,730,997.3391776561243
353,736,997.6052598905119
354,738,997.8447339014607
355,739,998.0602605113146
356,740,998.2542344601832
357,741,998.4288110141649
358,743,998.5859299127485
359,746,998.7273369214737
360,747,998.8546032293264
361,750,998.9691429063937
362,751,999.0722286157544
363,752,999.165005754179
364,754,999.2485051787611
365,756,999.323654660885
366,759,999.3912891947965
367,760,999.4521602753168
368,762,999.5069442477852
369,765,999.5562498230067
370,766,999.6006248407061
371,767,999.6405623566355
372,769,999.676506120972
373,770,999.7088555088749
374,771,999.7379699579874
375,773,999.7641729621887
376,774,999.7877556659698
377,775,999.8089800993729
378,780,999.8280820894356
379,784,999.8452738804921
380,785,999.8607464924429
381,787,999.8746718431986
382,789,999.8872046588788
383,791,999.898484192991
384,792,999.9086357736919
385,793,999.9177721963227
386,794,999.9259949766905
387,795,999.9333954790214
388,796,999.9400559311193
389,798,999.9460503380075
390,800,999.9514453042067
391,802,934.056300773786
392,805,855.6506706964075
393,807,870.0856036267668
394,808,883.0770432640901
395,809,810.1693389376811
396,813,829.1524050439131
397,815,761.8371645395218
398,816,699.8534480855698
399,818,729.8681032770128
400,821,756.8812929493115
401,823,701.6931636543803
402,824,731.5238472889423
403,825,679.4714625600482
404,828,625.8243163040434
405,831,663.241884673639
406,832,677.217696206275
407,834,709.4959265856476
408,836,654.1463339270829
409,838,603.4317005343746
410,843,566.6885304809372
411,845,524.5196774328434
412,846,486.46770968955906
413,847,463.1209387206032
414,848,432.0088448485429
415,851,488.8079603636886
416,857,456.5271643273198
417,859,431.67444789458784
418,860,418.607003105129
419,861,398.8463027946161
420,862,380.1616725151545
421,863,372.2455052636391
422,867,435.02095473727513
423,869,408.21885926354764
424,870,381.79697333719287
425,873,363.8172760034736
426,874,349.3355484031262
427,875,329.10199356281356
428,876,317.49179420653223
429,877,307.04261478587904
430,879,297.5383533072911
431,880,282.684517976562
432,881,269.7160661789058
433,882,264.84445956101524
434,884,254.36001360491372
435,887,243.82401224442236
436,889,242.54161101998014
437,890,233.0874499179821
438,892,224.6787049261839
439,893,225.51083443356552
440,896,218.05975099020895
441,897,211.15377589118808
442,899,213.73839830206927
443,900,208.16455847186234
444,907,202.2481026246761
445,908,205.2232923622085
446,909,209.50096312598762
447,910,212.45086681338887
448,911,206.80578013205
449,912,201.72520211884498
450,913,205.65268190696048
451,915,219.08741371626445
452,916,212.57867234463802
453,917,206.12080511017422
454,920,200.5087245991568
455,921,195.55785213924113
456,922,191.00206692531702
457,923,230.90186023278534
458,925,223.2116742095068
459,931,216.69050678855615
460,932,295.0214561097005
461,933,280.91931049873045
462,935,277.92737944885744
463,939,265.2346415039717
464,942,256.01117735357457
465,945,254.2100596182171
466,949,253.6890536563954
467,952,253.52014829075586
468,953,250.86813346168026
469,954,242.28132011551224
470,956,250.953188103961
471,957,250.1578692935649
472,958,250.1420823642084
473,961,251.52787412778756
474,962,243.3750867150088
475,964,244.8375780435079
476,966,236.75382023915714
477,967,229.57843821524142
478,969,223.22059439371728
479,971,225.99853495434556
480,972,229.398681458911
481,974,222.6588133130199
482,976,216.6929319817179
483,977,211.02363878354612
484,978,206.32127490519153
485,979,210.1891474146724
486,982,204.67023267320516
487,983,199.50320940588466
488,984,195.4528884652962
489,987,190.9075996187666
490,988,187.31683965688995
491,996,198.88515569120094
492,999,193.49664012208083
493,1000,198.44697610987274
494,1002,193.90227849888544
495,1004,198.6120506489969
496,1005,193.4508455840972
497,1008,217.80576102568747
498,1009,219.22518492311872
499,1011,219.30266643080685
500,1012,219.87239978772618
501,1013,219.68515980895356
502,1014,219.7166438280582
503,1017,220.7449794452524
504,1025,298.67048150072713
505,1026,292.7034333506544
506,1027,286.033090015589
507,1029,278.6297810140301
508,1031,338.1668029126271
509,1032,350.25012262136437
510,1033,415.22511035922787
511,1035,396.0025993233051
512,1037,385.6023393909746
513,1038,385.24210545187714
514,1039,361.31789490668945
515,1042,355.9861054160205
516,1043,342.4874948744184
517,1044,408.2387453869766
518,1049,467.41487084827895
519,1051,436.17338376345106
520,1052,414.35604538710595
521,1054,394.92044084839534
522,1055,377.8283967635558
523,1057,364.5455570872002
524,1063,428.0910013784802
525,1064,485.2819012406321
526,1066,536.7537111165689
527,1068,522.578340004912
528,1072,492.5205060044208
529,1074,467.0684554039787
530,1076,434.46160986358086
531,1078,409.6154488772228
532,1080,382.75390398950054
533,1082,368.1785135905505
534,1083,345.46066223149546
535,1084,410.91459600834594
536,1085,395.72313640751133
537,1086,376.4508227667602
538,1090,358.0057404900842
539,1092,341.2051664410758
540,1093,407.08464979696816
541,1099,466.37618481727134
542,1101,475.7385663355442
543,1103,528.1647097019898
544,1104,493.3482387317908
545,1105,544.0134148586117
546,1111,589.6120733727505
547,1114,630.6508660354755
548,1116,667.5857794319279
549,1119,673.1272014887351
550,1122,705.8144813398616
551,1123,663.1330332058754
552,1125,624.5197298852879
553,1126,662.0677568967592
554,1127,695.8609812070833
555,1128,667.374883086375
556,1130,630.4373947777375
557,1131,623.1936552999637
558,1133,660.8742897699673
559,1134,694.7868607929705
560,1135,725.3081747136735
561,1138,752.7773572423062
562,1139,777.4996215180755
563,1141,799.749659366268
564,1149,765.4746934296413
565,1150,788.9272240866773
566,1151,810.0345016780095
567,1152,829.0310515102086
568,1155,846.1279463591877
569,1156,861.515151723269
570,1157,875.3636365509421
571,1160,887.827272895848
572,1161,899.0445456062632
573,1162,909.140091045637
574,1165,918.2260819410733
575,1177,926.403473746966
576,1180,933.7631263722694
577,1182,940.3868137350426
578,1183,946.3481323615383
579,1185,951.7133191253845
580,1186,956.541987212846
581,1189,960.8877884915614
582,1192,964.7990096424053
583,1193,968.3191086781648
584,1194,971.4871978103483
585,1195,974.3384780293135
586,1196,976.9046302263821
587,1197,979.214167203744
588,1198,981.2927504833696
589,1199,983.1634754350326
590,1201,984.8471278915293
591,1203,986.3624151023764
592,1204,987.7261735921388
593,1206,988.9535562329249
594,1208,990.0582006096324
595,1210,991.0523805486692
596,1211,991.9471424938023
597,1212,992.752428244422
598,1213,993.4771854199798
599,1214,994.1294668779818
600,1215,994.7165201901837
601,1219,995.2448681711653
602,1224,995.7203813540488
603,1225,996.1483432186438
604,1227,996.5335088967795
605,1228,996.8801580071016
606,1232,997.1921422063915
607,1233,997.4729279857523
608,1234,997.7256351871771
609,1236,997.9530716684594
610,1239,998.1577645016135
611,1242,998.3419880514522
612,1244,998.507789246307
613,1246,998.6570103216762
614,1247,998.7913092895086
615,1249,998.9121783605577
616,1250,999.020960524502
617,1253,999.1188644720519
618,1254,999.2069780248468
619,1255,999.286280222362
620,1257,999.3576522001258
621,1258,999.4218869801133
622,1259,999.4796982821019
623,1261,999.5317284538918
624,1262,999.5785556085026
625,1263,999.6207000476523
626,1264,999.6586300428871
627,1265,999.6927670385984
628,1266,999.7234903347386
629,1271,999.7511413012647
630,1272,999.7760271711383
631,1274,999.7984244540245
632,1278,999.818582008622
633,1279,999.8367238077598
634,1281,924.1530514269838
635,1285,867.7377462842854
636,1287,880.9639716558569
637,1289,892.8675744902712
638,1291,903.5808170412441
639,1292,913.2227353371197
640,1293,879.1004618034078
641,1294,891.1904156230671
642,1296,902.0713740607604
643,1299,911.8642366546843
644,1300,920.6778129892159
645,1302,928.6100316902944
646,1303,935.7490285212649
647,1304,942.1741256691384
648,1306,947.9567131022246
649,1310,953.1610417920022
650,1312,957.8449376128019
651,1313,962.0604438515218
652,1315,965.8543994663696
653,1316,969.2689595197327
654,1319,972.3420635677594
655,1320,975.1078572109835
656,1325,977.5970714898851
657,1326,979.8373643408967
658,1327,981.853627906807
659,1328,983.6682651161263
660,1330,985.3014386045137
661,1332,986.7712947440623
662,1333,988.0941652696561
663,1334,989.2847487426905
664,1335,990.3562738684215
665,1336,991.3206464815793
666,1337,992.1885818334214
667,1340,992.9697236500792
668,1343,993.6727512850713
669,1345,994.3054761565642
670,1347,994.8749285409077
671,1348,995.387435686817
672,1349,995.8486921181353
673,1350,996.2638229063218
674,1351,996.6374406156897
675,1355,996.9736965541207
676,1359,997.2763268987086
677,1361,997.5486942088378
678,1362,960.093824787954
679,1365,964.0844423091586
680,1366,967.6759980782427
681,1367,901.7083982704185
682,1370,834.4375584433766
683,1373,850.993802599039
684,1374,865.8944223391351
685,1375,797.5049801052216
686,1377,738.2544820946995
687,1378,764.4290338852295
688,1379,787.9861304967066
689,1382,809.1875174470359
690,1384,828.2687657023323
691,1385,766.241889132099
692,1386,709.5177002188891
693,1387,658.8659301970001
694,1388,612.9793371773002
695,1389,568.8814034595703
696,1391,533.0932631136133
697,1392,579.7839368022519
698,1395,621.8055431220267
699,1400,659.6249888098241
700,1412,693.6624899288418
701,1413,724.2962409359576
702,1414,695.3666168423619
703,1415,725.8299551581257
704,1419,669.6469596423132
705,1422,702.6822636780819
706,1423,652.2140373102736
707,1425,605.2926335792463
708,1426,563.6633702213217
709,1427,530.3970331991895
710,1428,577.3573298792705
711,1430,572.3215968913435
712,1432,615.0894372022092
713,1433,574.2804934819883
714,1434,531.7524441337895
715,1436,494.17719972041056
716,1437,464.55947974836954
717,1438,437.9035317735326
718,1440,409.7131785961794
719,1442,388.04186073656143
720,1448,449.2376746629053
721,1450,504.31390719661476
722,1455,503.2825164769533
723,1456,473.05426482925793
724,1460,502.44883834633214
725,1465,552.203954511699
726,1466,547.683559060529
727,1470,539.8152031544761
728,1474,585.8336828390285
729,1477,547.3503145551257
730,1480,592.6152830996131
731,1481,609.1537547896518
732,1482,620.4383793106865
733,1485,579.6945413796178
734,1486,621.7250872416561
735,1489,584.6525785174905
736,1491,563.2873206657415
737,1492,606.9585885991673
738,1493,562.4627297392507
739,1500,606.2164567653256
740,1501,561.194811088793
741,1502,605.0753299799137
742,1503,561.0677969819224
743,1505,521.7610172837301
744,1506,566.084915555357
745,1507,525.3764239998213
746,1508,506.73878159983917
747,1509,502.26490343985523
748,1510,481.7384130958697
749,1511,449.4645717862827
750,1512,449.11811460765443
751,1513,430.30630314688904
752,1516,465.47567283220013
753,1518,435.4281055489801
754,1523,403.98529499408215
755,1524,395.08676549467395
756,1525,372.57808894520656
757,1527,357.2202800506859
758,1534,336.79825204561735
759,1536,319.0184268410556
760,1541,302.31658415695006
761,1542,287.6849257412551
762,1546,274.4164331671296
763,1548,262.97478985041664
764,1549,282.977310865375
765,1551,277.5795797788375
766,1552,265.72162180095376
767,1554,278.2494596208584
768,1555,302.32451365877256
769,1561,288.9920622928953
770,1562,277.1928560636058
771,1563,265.2735704572452
772,1568,254.04621341152068
773,1569,250.74159207036863
774,1578,240.36743286333174
775,1579,239.33068957699857
776,1582,235.89762061929872
777,1583,266.90785855736885
778,1584,260.917072701632
779,1586,256.0253654314688
780,1588,251.52282888832192
781,1590,247.47054599948973
782,1593,244.32349139954076
783,1594,237.69114225958668
784,1596,238.622028033628
785,1597,229.95982523026518
786,1599,222.36384270723866
787,1601,213.92745843651477
788,1602,206.0347125928633
789,1604,199.93124133357696
790,1605,193.43811720021927
791,1609,188.39430548019732
792,1610,183.7548749321776
793,1612,178.77938743895984
794,1613,174.10144869506385
795,1614,170.39130382555746
796,1615,166.8521734430017
797,1617,163.36695609870154
798,1618,160.73026048883136
799,1619,159.35723443994823
800,1620,157.4215109959534
801,1624,156.17935989635808
802,1626,154.66142390672226
803,1627,152.59528151605005
804,1628,150.63575336444507
805,1630,149.77217802800055
806,1632,149.0949602252005
807,1634,148.18546420268046
808,1636,147.56691778241242
809,1637,148.81022600417117
810,1638,148.52920340375405
811,1640,147.97628306337867
812,1641,147.47865475704083
813,1642,146.53078928133675
814,1643,146.17771035320305
815,1644,145.85993931788278
816,1645,145.67394538609452
817,1647,145.90655084748505
818,1648,145.61589576273656
819,1651,145.0543061864629
820,1652,145.14887556781662
821,1654,144.73398801103497
822,1655,144.76058920993148
823,1658,144.78453028893833
824,1659,144.60607726004451
825,1660,144.74546953404007
826,1661,144.77092258063607
827,1662,144.99383032257245
828,1664,145.3944472903152
829,1668,145.3550025612837
830,1670,145.61950230515532
831,1671,145.7575520746398
832,1672,145.3817968671758
833,1675,145.64361718045825
834,1676,146.3792554624124
835,1678,147.04132991617115
836,1682,146.63719692455402
837,1683,146.0734772320986
838,1684,146.76612950888875
839,1685,147.28951655799986
840,1687,147.46056490219988
841,1691,147.51450841197988
842,1692,149.0630575707819
843,1694,148.25675181370372
844,1695,147.93107663233334
