排名,中文名,英文名,标签,省市,类型,总分
1,清华大学 ,Tsinghua University ,双一流/985/211,北京,综合,999.4
2,北京大学 ,Peking University ,双一流/985/211,北京,综合,912.5
3,浙江大学 ,Zhejiang University ,双一流/985/211,浙江,综合,825.3
4,上海交通大学 ,Shanghai Jiao Tong University ,双一流/985/211,上海,综合,783.3
5,复旦大学 ,Fudan University ,双一流/985/211,上海,综合,697.8
6,南京大学 ,Nanjing University ,双一流/985/211,江苏,综合,683.4
7,中国科学技术大学 ,University of Science and Technology of China ,双一流/985/211,安徽,理工,609.9
8,华中科技大学 ,Huazhong University of Science and Technology ,双一流/985/211,湖北,综合,609.3
9,武汉大学 ,Wuhan University ,双一流/985/211,湖北,综合,607.1
10,西安交通大学 ,Xi'an Jiaotong University ,双一流/985/211,陕西,综合,570.2
11,四川大学 ,Sichuan University ,双一流/985/211,四川,综合,561.7
12,中山大学 ,Sun Yat-Sen University ,双一流/985/211,广东,综合,559.4
13,哈尔滨工业大学 ,Harbin Institute of Technology ,双一流/985/211,黑龙江,理工,549.8
14,同济大学 ,Tongji University ,双一流/985/211,上海,理工,548.4
15,北京航空航天大学 ,Beihang University ,双一流/985/211,北京,理工,546.7
16,东南大学 ,Southeast University ,双一流/985/211,江苏,综合,538.5
17,北京师范大学 ,Beijing Normal University ,双一流/985/211,北京,师范,534.7
18,北京理工大学 ,Beijing Institute of Technology ,双一流/985/211,北京,理工,530.9
19,中国人民大学 ,Renmin University of China ,双一流/985/211,北京,综合,514.7
20,南开大学 ,Nankai University ,双一流/985/211,天津,综合,497.4
21,天津大学 ,Tianjin University ,双一流/985/211,天津,理工,490.8
22,山东大学 ,Shandong University ,双一流/985/211,山东,综合,484.3
23,中南大学 ,Central South University ,双一流/985/211,湖南,综合,475.8
24,西北工业大学 ,Northwestern Polytechnical University ,双一流/985/211,陕西,理工,467.9
25,华南理工大学 ,South China University of Technology ,双一流/985/211,广东,理工,466.7
26,厦门大学 ,Xiamen University ,双一流/985/211,福建,综合,458.8
27,吉林大学 ,Jilin University ,双一流/985/211,吉林,综合,450.3
28,华东师范大学 ,East China Normal University ,双一流/985/211,上海,师范,440.7
29,中国农业大学 ,China Agricultural University ,双一流/985/211,北京,农业,433.7
30,电子科技大学 ,University of Electronic Science and Technology of China ,双一流/985/211,四川,理工,432.0
